VG,VD,W,L,ID,abs_ID,log_ID,device
-2,3.9,5,5,-3.2416e-12,3.2416e-12,-11.489240576319814,top1rep
-2,4.0,5,5,-3.7014e-12,3.7014e-12,-11.431633979372377,top1rep
-2,4.1,5,5,-3.9498e-12,3.9498e-12,-11.403424894524278,top1rep
-2,4.2,5,5,-4.1436e-12,4.1436e-12,-11.38262217560292,top1rep
-2,4.3,5,5,4.652e-12,4.652e-12,-11.332360293943589,top1rep
-2,4.4,5,5,4.2588e-12,4.2588e-12,-11.370712754604781,top1rep
-2,4.5,5,5,-1.8332e-12,1.8332e-12,-11.73679015142725,top1rep
-2,4.6000000000000005,5,5,-6.256e-13,6.256e-13,-12.203703259948208,top1rep
-2,4.7,5,5,6.168e-13,6.168e-13,-12.2098556349571,top1rep
-2,4.8,5,5,1.635e-12,1.635e-12,-11.786482243003695,top1rep
-2,4.9,5,5,2.45e-12,2.45e-12,-11.610833915635467,top1rep
-2,5.0,5,5,3.0288e-12,3.0288e-12,-11.518729403380279,top1rep
-1,0.0,5,5,-4.8674e-12,4.8674e-12,-11.312702962231004,top1rep
-1,0.1,5,5,3.3026e-12,3.3026e-12,-11.481144023436167,top1rep
-1,0.2,5,5,-2.944e-13,2.944e-13,-12.531062194334538,top1rep
-1,0.3,5,5,9.108e-13,9.108e-13,-12.040576978056896,top1rep
-1,0.4,5,5,1.9354e-12,1.9354e-12,-11.713229263285944,top1rep
-1,0.5,5,5,2.5496e-12,2.5496e-12,-11.593527949534323,top1rep
-1,0.6,5,5,3.2816e-12,3.2816e-12,-11.483914356975708,top1rep
-1,0.7,5,5,3.6606e-12,3.6606e-12,-11.436447724623969,top1rep
-1,0.8,5,5,3.9872e-12,3.9872e-12,-11.399331979356944,top1rep
-1,0.9,5,5,4.1428e-12,4.1428e-12,-11.382706032425329,top1rep
-1,1.0,5,5,-4.6916e-12,4.6916e-12,-11.328679022387291,top1rep
-1,1.1,5,5,-4.2076e-12,4.2076e-12,-11.375965553561977,top1rep
-1,1.2,5,5,1.7078e-12,1.7078e-12,-11.767562990779446,top1rep
-1,1.3,5,5,4.394e-13,4.394e-13,-12.357139947415508,top1rep
-1,1.4,5,5,-4.982e-13,4.982e-13,-12.302596276799513,top1rep
-1,1.5,5,5,-1.3432e-12,1.3432e-12,-11.871859316870008,top1rep
-1,1.6,5,5,-2.1458e-12,2.1458e-12,-11.668410759044864,top1rep
