VG,VDS,W,L,CGD,CGS,CG
-0.4,0.0,160,15,6.774970000000002e-13,5.422630000000002e-13,1.2003100000000002e-12
-0.2,0.0,160,15,7.07091e-13,5.670890000000001e-13,1.2565000000000004e-12
0.0,0.0,160,15,7.465960000000001e-13,6.016040000000002e-13,1.3359800000000001e-12
0.2,0.0,160,15,7.89538e-13,6.410390000000001e-13,1.46609e-12
0.4,0.0,160,15,8.95727e-13,7.0069e-13,2.29156e-12
0.6,0.0,160,15,2.34421e-12,1.34069e-12,3.5008e-12
0.8,0.0,160,15,3.77082e-12,3.5780300000000007e-12,3.995960000000001e-12
1.0,0.0,160,15,4.115110000000001e-12,4.0715900000000004e-12,4.19032e-12
1.2,0.0,160,15,4.2623600000000004e-12,4.24374e-12,4.302940000000001e-12
1.4,0.0,160,15,4.35707e-12,4.34695e-12,4.38534e-12
1.6,0.0,160,15,4.42788e-12,4.422830000000001e-12,4.44902e-12
1.8,0.0,160,15,4.4836500000000006e-12,4.48069e-12,4.50024e-12
2.0,0.0,160,15,4.53096e-12,4.529400000000001e-12,4.54284e-12
2.2,0.0,160,15,4.56932e-12,4.5689300000000004e-12,4.57902e-12
2.4,0.0,160,15,4.6004100000000006e-12,4.60244e-12,4.608340000000001e-12
2.6,0.0,160,15,4.62848e-12,4.63163e-12,4.633660000000001e-12
2.8000000000000003,0.0,160,15,4.650620000000001e-12,4.65441e-12,4.654510000000001e-12
3.0,0.0,160,15,4.670190000000001e-12,4.67458e-12,4.671900000000001e-12
3.2,0.0,160,15,4.68568e-12,4.691250000000001e-12,4.687700000000001e-12
3.4,0.0,160,15,4.700150000000001e-12,4.70585e-12,4.701230000000001e-12
3.6,0.0,160,15,4.71267e-12,4.718750000000001e-12,4.71325e-12
3.8,0.0,160,15,4.7242000000000004e-12,4.72994e-12,4.72287e-12
4.0,0.0,160,15,4.7349e-12,4.7397300000000004e-12,4.73203e-12
4.2,0.0,160,15,4.74306e-12,4.748910000000001e-12,4.74101e-12
4.4,0.0,160,15,4.75085e-12,4.75743e-12,4.748570000000001e-12
4.6000000000000005,0.0,160,15,4.757470000000001e-12,4.76418e-12,4.755810000000001e-12
4.8,0.0,160,15,4.76371e-12,4.77212e-12,4.76193e-12
5.0,0.0,160,15,4.7709200000000004e-12,4.77829e-12,4.767240000000001e-12
-3.0,0.0,160,20,8.4589e-13,6.863230000000002e-13,1.5125800000000002e-12
-2.8000000000000003,0.0,160,20,8.45128e-13,6.871140000000002e-13,1.51392e-12
-2.6,0.0,160,20,8.448720000000001e-13,6.87433e-13,1.51404e-12
-2.4,0.0,160,20,8.46601e-13,6.87193e-13,1.5139800000000002e-12
-2.2,0.0,160,20,8.459940000000001e-13,6.87882e-13,1.5144900000000001e-12
-2.0,0.0,160,20,8.45915e-13,6.87604e-13,1.5135300000000001e-12
-1.8,0.0,160,20,8.46668e-13,6.89356e-13,1.5151600000000002e-12
-1.6,0.0,160,20,8.46431e-13,6.885840000000002e-13,1.51647e-12
-1.4,0.0,160,20,8.4682e-13,6.88278e-13,1.5166300000000002e-12
-1.2,0.0,160,20,8.48116e-13,6.88812e-13,1.5185600000000003e-12
-1.0,0.0,160,20,8.48151e-13,6.90317e-13,1.5185800000000002e-12
-0.8,0.0,160,20,8.483980000000001e-13,6.91699e-13,1.52081e-12
-0.6,0.0,160,20,8.542540000000002e-13,6.954240000000002e-13,1.52729e-12
-0.4,0.0,160,20,8.714210000000002e-13,7.05929e-13,1.5473200000000001e-12
