device,VD,VG,ID,IG,IS,absIg,absId,r
bot1,2.1,-3,4.7704e-12,-2.942e-11,-3.609e-11,2.942e-11,4.7704e-12,23261223540.35824
bot1,2.2,-3,4.3868e-12,-1.4400000000000001e-12,-1.71e-11,1.4400000000000001e-12,4.3868e-12,-29579672848.81832
bot1,2.3000000000000003,-3,-1.991e-12,1.8400000000000002e-12,-1.2000000000000002e-13,1.8400000000000002e-12,1.991e-12,-38629427898.172775
bot1,2.4,-3,-7.906e-13,2.87e-12,-1.5e-12,2.87e-12,7.906e-13,79700326771.33966
bot1,2.5,-3,5.184e-13,-1.6300000000000001e-12,-2.6000000000000002e-12,1.6300000000000001e-12,5.184e-13,84452326661.59961
bot1,2.6,-3,1.5776e-12,-7.240000000000001e-12,-3.2400000000000007e-12,7.240000000000001e-12,1.5776e-12,105630083447.76602
bot1,2.7,-3,2.4118e-12,-1.91e-11,-4.89e-12,1.91e-11,2.4118e-12,123411082315.19205
bot1,2.8000000000000003,-3,3.1982e-12,-3.631e-11,-7.3e-12,3.631e-11,3.1982e-12,161786118751.01096
bot1,2.9,-3,3.648e-12,-4.9690000000000005e-11,-9.81e-12,4.9690000000000005e-11,3.648e-12,230680507497.1161
bot1,3.0,-3,4.0652e-12,-5.915000000000001e-11,-1.497e-11,5.915000000000001e-11,4.0652e-12,296647878967.6654
bot1,3.1,-3,4.3222e-12,-6.218e-11,-1.992e-11,6.218e-11,4.3222e-12,-22586619686.497746
bot1,3.2,-3,-4.7896e-12,3.001e-11,3.537e-11,3.001e-11,4.7896e-12,-22631090592.25566
bot1,3.3000000000000003,-3,-4.5152e-12,2.23e-12,1.908e-11,2.23e-12,4.5152e-12,28194428780.872864
bot1,3.4,-3,2.304e-12,-2.780000000000001e-12,-4.500000000000001e-13,2.780000000000001e-12,2.304e-12,35407003505.2933
bot1,3.5,-3,1.1334e-12,-1.7500000000000002e-12,1.0600000000000001e-12,1.7500000000000002e-12,1.1334e-12,-87024627969.7155
bot1,3.6,-3,5.8e-15,-5.300000000000003e-13,1.8200000000000003e-12,5.300000000000003e-13,5.8e-15,-87359133397.39677
bot1,3.7,-3,-1.156e-12,4.47e-12,2.8900000000000004e-12,4.47e-12,1.156e-12,-96441315459.54295
bot1,3.8,-3,-2.068e-12,1.376e-11,4.27e-12,1.376e-11,2.068e-12,-117013807629.3001
bot1,3.9,-3,-2.8652e-12,2.706e-11,5.94e-12,2.706e-11,2.8652e-12,-143595634692.70517
bot1,4.0,-3,-3.4608e-12,4.3320000000000005e-11,8.34e-12,4.3320000000000005e-11,3.4608e-12,-195121951219.512
bot1,4.1,-3,-3.8902e-12,5.5590000000000005e-11,1.1250000000000002e-11,5.5590000000000005e-11,3.8902e-12,-288101411696.91754
bot1,4.2,-3,-4.155e-12,6.031000000000001e-11,1.619e-11,6.031000000000001e-11,4.155e-12,-424448217317.4877
bot1,4.3,-3,-4.3614e-12,6.180000000000001e-11,2.364e-11,6.180000000000001e-11,4.3614e-12,22067747986.31802
bot1,4.4,-3,4.908e-12,-1.866e-11,-3.705e-11,1.866e-11,4.908e-12,23737181921.762268
bot1,4.5,-3,4.0642e-12,-2.0200000000000007e-12,-1.269e-11,2.0200000000000007e-12,4.0642e-12,-32572228917.624863
bot1,4.6000000000000005,-3,-1.2322e-12,2.21e-12,-1.37e-12,2.21e-12,1.2322e-12,-50070098137.3924
bot1,4.7,-3,6.98e-14,9.9e-13,-1.9200000000000003e-12,9.9e-13,6.98e-14,75103266992.11389
bot1,4.8,-3,1.4308e-12,-6.8300000000000006e-12,-3.440000000000001e-12,6.8300000000000006e-12,1.4308e-12,85557837097.87822
bot1,4.9,-3,2.4074e-12,-1.7980000000000002e-11,-4.98e-12,1.7980000000000002e-11,2.4074e-12,113675116516.99454
bot1,5.0,-3,3.1902e-12,-3.8e-11,-7.62e-12,3.8e-11,3.1902e-12,127746550843.1268
bot1,0.0,-2,-5.0238e-12,1.86e-12,2.724e-11,1.86e-12,5.0238e-12,12540442928.444233
bot1,0.1,-2,2.9504e-12,-3.1200000000000004e-12,-3.65e-12,3.1200000000000004e-12,2.9504e-12,36517674554.484375
bot1,0.2,-2,4.53e-13,4.500000000000001e-13,-2.46e-12,4.500000000000001e-13,4.53e-13,-135961930659.41534
bot1,0.3,-2,1.4794e-12,-6.580000000000002e-12,-3.33e-12,6.580000000000002e-12,1.4794e-12,93773443360.8402
bot1,0.4,-2,2.5858e-12,-2.218e-11,-4.910000000000001e-12,2.218e-11,2.5858e-12,114051094890.51094
bot1,0.5,-2,3.233e-12,-3.846e-11,-7.6e-12,3.846e-11,3.233e-12,181488203266.78763
