VG,VD,W,L,ID,abs_ID,log_ID,sweep,device
-3.0,1.0,5,5,-2.0232e-12,2.0232e-12,-11.693961183663651,output,bot1rep
-3.0,1.1,5,5,-2.784e-12,2.784e-12,-11.555330769061475,output,bot1rep
-3.0,1.2,5,5,-3.327e-12,3.327e-12,-11.477947199131178,output,bot1rep
-3.0,1.3,5,5,-3.7312e-12,3.7312e-12,-11.428151471257099,output,bot1rep
-3.0,1.4,5,5,-4.1102e-12,4.1102e-12,-11.38613704508668,output,bot1rep
-3.0,1.5,5,5,-4.3306e-12,4.3306e-12,-11.363451928441785,output,bot1rep
-3.0,1.6,5,5,4.7086e-12,4.7086e-12,-11.327108201715124,output,bot1rep
-3.0,1.7,5,5,4.3298e-12,4.3298e-12,-11.363532163901235,output,bot1rep
-3.0,1.8,5,5,-2.186e-12,2.186e-12,-11.660349842386315,output,bot1rep
-3.0,1.9,5,5,-1.2792e-12,1.2792e-12,-11.893061549261821,output,bot1rep
-3.0,2.0,5,5,-7.8e-15,7.8e-15,-14.10790539730952,output,bot1rep
-3.0,2.1,5,5,9.236e-13,9.236e-13,-12.034516075754862,output,bot1rep
-3.0,2.2,5,5,1.956e-12,1.956e-12,-11.708631149548417,output,bot1rep
-3.0,2.3000000000000003,5,5,2.7704e-12,2.7704e-12,-11.557457521458595,output,bot1rep
-3.0,2.4,5,5,3.2834e-12,3.2834e-12,-11.483676206149505,output,bot1rep
-3.0,2.5,5,5,3.7528e-12,3.7528e-12,-11.425644580060897,output,bot1rep
-3.0,2.6,5,5,3.9432000000000004e-12,3.9432000000000004e-12,-11.404151194853332,output,bot1rep
-3.0,2.7,5,5,4.125e-12,4.125e-12,-11.384576047114056,output,bot1rep
-3.0,2.8000000000000003,5,5,4.3282e-12,4.3282e-12,-11.363692679304089,output,bot1rep
-3.0,2.9,5,5,-4.9102e-12,4.9102e-12,-11.308900818034383,output,bot1rep
-3.0,3.0,5,5,-3.9876e-12,3.9876e-12,-11.399288412673664,output,bot1rep
-3.0,3.1,5,5,1.3644e-12,1.3644e-12,-11.86505828926464,output,bot1rep
-3.0,3.2,5,5,2.752e-13,2.752e-13,-12.560351570436527,output,bot1rep
-3.0,3.3000000000000003,5,5,-9.15e-13,9.15e-13,-12.038578905933552,output,bot1rep
-3.0,3.4,5,5,-1.724e-12,1.724e-12,-11.763462738511306,output,bot1rep
-3.0,3.5,5,5,-2.5148e-12,2.5148e-12,-11.59949654832185,output,bot1rep
-3.0,3.6,5,5,-3.181e-12,3.181e-12,-11.497436330892636,output,bot1rep
-3.0,3.7,5,5,-3.7498e-12,3.7498e-12,-11.425991895262335,output,bot1rep
-3.0,3.8,5,5,-4.0462e-12,4.0462e-12,-11.3929526542519,output,bot1rep
-3.0,3.9,5,5,-4.2222e-12,4.2222e-12,-11.37446119858896,output,bot1rep
-3.0,4.0,5,5,-4.345e-12,4.345e-12,-11.362010219215314,output,bot1rep
-3.0,4.1,5,5,4.8134e-12,4.8134e-12,-11.31754804636867,output,bot1rep
-3.0,4.2,5,5,4.1924e-12,4.1924e-12,-11.37753728768816,output,bot1rep
-3.0,4.3,5,5,-1.6386e-12,1.6386e-12,-11.785527049476624,output,bot1rep
-3.0,4.4,5,5,-4.218e-13,4.218e-13,-12.374893424596532,output,bot1rep
-3.0,4.5,5,5,7.07e-13,7.07e-13,-12.1505805862031,output,bot1rep
-3.0,4.6000000000000005,5,5,1.7694e-12,1.7694e-12,-11.752173977064558,output,bot1rep
-3.0,4.7,5,5,2.412e-12,2.412e-12,-11.617622696531887,output,bot1rep
-3.0,4.8,5,5,3.1572e-12,3.1572e-12,-11.500697905866673,output,bot1rep
-3.0,4.9,5,5,3.6364e-12,3.6364e-12,-11.439328350907159,output,bot1rep
-3.0,5.0,5,5,3.984e-12,3.984e-12,-11.399680670248339,output,bot1rep
-2.0,0.0,5,5,5.103e-12,5.103e-12,-11.29217443166777,output,bot1rep
