device,VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
top1,-0.8,0.1,-1.7144e-12,9.7e-12,3.85e-12,20,10,-3.2387000000000004e-11,9.7e-12,1.7144e-12,1.33e-07,-0.0012175563909774,1.0477030270194112,8.238999999999992e-11
top1,-0.7,0.1,-4.0052e-12,4.4490000000000006e-11,1.528e-11,20,10,3.279499999999999e-11,4.4490000000000006e-11,4.0052e-12,1.33e-07,0.0012328947368421,2.255728834036298,1.9750999999999995e-10
top1,-0.6,0.1,4.8446e-12,-6.850000000000001e-12,-4.273e-11,20,10,7.114999999999997e-12,6.850000000000001e-12,4.8446e-12,1.33e-07,0.0002674812030075,-0.9531716535223907,-2.0997999999999988e-10
top1,-0.5,0.1,-2.5822e-12,1.5800000000000001e-12,2.7600000000000004e-12,20,10,-9.201e-12,1.5800000000000001e-12,2.5822e-12,1.33e-07,-0.000345902255639,-1.037500857664302,7.4148e-10
top1,-0.4,0.1,3.0044e-12,-5.770000000000001e-12,-5.3000000000000004e-12,20,10,1.55411e-10,5.770000000000001e-12,3.0044e-12,1.33e-07,0.0058425187969924,5.214274916098248,6.677895e-09
top1,-0.3,0.1,2.85e-11,-4.191e-11,-3.767e-11,20,10,1.326378e-09,4.191e-11,2.85e-11,1.33e-07,0.0498638345864661,9.754152721802212,4.2105445e-08
top1,-0.2,0.1,2.6828000000000003e-10,-2.1370000000000003e-11,-2.8967000000000005e-10,20,10,8.5765e-09,2.1370000000000003e-11,2.6828000000000003e-10,1.33e-07,0.3224248120300751,8.933259066595003,1.1609611e-07
top1,-0.1,0.1,1.7438e-09,3.623e-11,-1.762e-09,20,10,2.45456e-08,3.623e-11,1.7438e-09,1.33e-07,0.9227669172932328,6.427617108520982,1.6075999999999997e-07
top1,0.0,0.1,5.1774e-09,-2.03e-12,-5.2002e-09,20,10,4.07285e-08,2.03e-12,5.1774e-09,1.33e-07,1.531146616541353,3.768388307359372,1.37637e-07
top1,0.1,0.1,9.8895e-09,-6.3e-13,-9.8538e-09,20,10,5.207299999999999e-08,6.3e-13,9.8895e-09,1.33e-07,1.957631578947368,2.393950533683773,1.1140999999999996e-07
top1,0.2,0.1,1.5591999999999998e-08,8.2e-13,-1.5529399999999998e-08,20,10,6.30105e-08,8.2e-13,1.5591999999999998e-08,1.33e-07,2.3688157894736834,1.784230082161833,1.2703500000000005e-07
top1,0.3,0.1,2.24916e-08,9.8e-13,-2.24612e-08,20,10,7.748e-08,9.8e-13,2.24916e-08,1.33e-07,2.9127819548872167,1.498454785730714,1.5990749999999996e-07
top1,0.4,0.1,3.1088e-08,1.5400000000000001e-12,-3.10794e-08,20,10,9.4992e-08,1.5400000000000001e-12,3.1088e-08,1.33e-07,3.5711278195488707,1.3296154179861075,1.72655e-07
top1,0.5,0.1,4.149e-08,4.9800000000000005e-11,-4.14752e-08,20,10,1.12011e-07,4.9800000000000005e-11,4.149e-08,1.33e-07,4.21093984962406,1.1784071923528396,1.6511499999999974e-07
top1,0.6,0.1,5.34902e-08,9.31e-12,-5.3488e-08,20,10,1.2801499999999992e-07,9.31e-12,5.34902e-08,1.33e-07,4.812593984962402,1.043668882739079,1.490799999999997e-07
top1,0.7,0.1,6.709299999999999e-08,-2.0500000000000004e-12,-6.70982e-08,20,10,1.4182699999999996e-07,2.0500000000000004e-12,6.709299999999999e-08,1.33e-07,5.331842105263155,0.923870872472787,1.2390500000000058e-07
top1,0.8,0.1,8.18556e-08,-2.4850000000000003e-11,-8.182499999999999e-08,20,10,1.5279600000000004e-07,2.4850000000000003e-11,8.18556e-08,1.33e-07,5.74421052631579,0.8150241027457874,1.0015000000000056e-07
top1,0.9,0.1,9.76522e-08,-3.6620000000000005e-11,-9.76566e-08,20,10,1.6185700000000004e-07,3.6620000000000005e-11,9.76522e-08,1.33e-07,6.084849624060151,0.7236018731674988,7.921499999999985e-08
top1,1.0,0.1,1.14227e-07,2.29e-12,-1.141866e-07,20,10,1.68639e-07,2.29e-12,1.14227e-07,1.33e-07,6.339812030075187,0.6442361280289652,5.8540000000000324e-08
top1,1.1,0.1,1.3138e-07,1.96e-12,-1.313e-07,20,10,1.7356500000000016e-07,1.96e-12,1.3138e-07,1.33e-07,6.525000000000003,0.5762128932650868,4.6805000000000153e-08
top1,1.2,0.1,1.4894e-07,-4.1250000000000006e-11,-1.4898e-07,20,10,1.7800000000000009e-07,4.1250000000000006e-11,1.4894e-07,1.33e-07,6.69172932330827,0.5206759959297403,4.11749999999984e-08
top1,1.3,0.1,1.6698e-07,-2.6500000000000002e-12,-1.6702e-07,20,10,1.817999999999998e-07,2.6500000000000002e-12,1.6698e-07,1.33e-07,6.834586466165404,0.4743203490577347,3.24999999999999e-08
top1,1.4,0.1,1.853e-07,5.058e-11,-1.8528e-07,20,10,1.8450000000000002e-07,5.058e-11,1.853e-07,1.33e-07,6.936090225563909,0.4335508409949185,3.050000000000124e-08
top1,1.5,0.1,2.0388e-07,5.300000000000003e-13,-2.04e-07,20,10,1.879000000000001e-07,5.300000000000003e-13,2.0388e-07,1.33e-07,7.06390977443609,0.4009783988049565,3.250000000000046e-08
top1,1.6,0.1,2.2288e-07,-2.334e-11,-2.2292e-07,20,10,1.910000000000001e-07,2.334e-11,2.2288e-07,1.33e-07,7.180451127819551,0.3729214288122051,2.9500000000000373e-08
top1,1.7,0.1,2.4208e-07,7.53e-12,-2.4204e-07,20,10,1.938000000000001e-07,7.53e-12,2.4208e-07,1.33e-07,7.285714285714288,0.3481652069001973,2.5999999999997857e-08
top1,1.8,0.1,2.6164e-07,8.100000000000002e-13,-2.6146e-07,20,10,1.961999999999997e-07,8.100000000000002e-13,2.6164e-07,1.33e-07,7.3759398496240465,0.3262084903112857,2.4999999999999208e-08
top1,1.9,0.1,2.8132e-07,-3.827e-11,-2.8134e-07,20,10,1.988e-07,3.827e-11,2.8132e-07,1.33e-07,7.473684210526313,0.3071955375934232,3.3500000000002126e-08
