device,VG,VD,ID,IG,IS,sqrt_ID,gm,absIg,W,L,Ca,Mob_Sat,SS,absId
top1,0.8,5,1.2778e-06,-4.95e-11,-1.2736000000000002e-06,0.0011303981599418,3.917900000000001e-06,4.95e-11,40,5,1.33e-07,5.577283835452564,1.325805900011612,1.2778e-06
top1,0.9,5,1.7148e-06,-2.929e-11,-1.7151e-06,0.0013095037227896,4.871000000000001e-06,2.929e-11,40,5,1.33e-07,6.442606081380016,1.2305275119159378,1.7148e-06
top1,1.0,5,2.252e-06,-1.0500000000000002e-12,-2.2535e-06,0.0015006665185843,5.8949999999999995e-06,1.0500000000000002e-12,40,5,1.33e-07,7.206822280004987,1.1362751873346562,2.252e-06
top1,1.1,5,2.8938e-06,1.79e-11,-2.8946e-06,0.0017011172799075,6.915500000000004e-06,1.79e-11,40,5,1.33e-07,7.743278910415904,1.039739882150026,2.8938e-06
top1,1.2,5,3.635100000000001e-06,2.9e-12,-3.6361e-06,0.0019065938214522,7.919500000000001e-06,2.9e-12,40,5,1.33e-07,8.090954653301697,0.9479324037706685,3.635100000000001e-06
top1,1.3,5,4.4777e-06,-5.4000000000000004e-12,-4.477500000000001e-06,0.0021160576551691,8.907499999999996e-06,5.4000000000000004e-12,40,5,1.33e-07,8.319706337736443,0.8660520139508457,4.4777e-06
top1,1.4,5,5.416600000000001e-06,-1.54e-11,-5.418200000000001e-06,0.0023273590182866,9.830500000000004e-06,1.54e-11,40,5,1.33e-07,8.384737161641137,0.7904352972207243,5.416600000000001e-06
top1,1.5,5,6.443800000000001e-06,7.200000000000002e-13,-6.4439e-06,0.0025384641025628,1.0737000000000002e-05,7.200000000000002e-13,40,5,1.33e-07,8.404886927201282,0.7251237738675931,6.443800000000001e-06
top1,1.6,5,7.564e-06,2.908e-11,-7.565300000000002e-06,0.0027502727137504,1.1586500000000008e-05,2.908e-11,40,5,1.33e-07,8.346866238618441,0.6670829246789812,7.564e-06
top1,1.7,5,8.761100000000002e-06,8.2e-13,-8.7599e-06,0.0029599155393355,1.2357500000000003e-05,8.2e-13,40,5,1.33e-07,8.195518400386845,0.6139374754953587,8.761100000000002e-06
top1,1.8,5,1.00355e-05,-4.024e-11,-1.00356e-05,0.0031678857302623,1.3147999999999983e-05,4.024e-11,40,5,1.33e-07,8.097008162241721,0.5699588821860807,1.00355e-05
top1,1.9,5,1.13907e-05,-2.18e-12,-1.13897e-05,0.0033750111110928,1.39125e-05,2.18e-12,40,5,1.33e-07,7.989774466856223,0.5314062598798764,1.13907e-05
top1,2.0,5,1.2818e-05,-4.349e-11,-1.281e-05,0.0035802234567132,1.46665e-05,4.349e-11,40,5,1.33e-07,7.8876858752364996,0.4975694923152397,1.2818e-05
top1,2.1,5,1.4324e-05,-1.9700000000000003e-12,-1.4326e-05,0.003784706065205,1.5529999999999995e-05,1.9700000000000003e-12,40,5,1.33e-07,7.909659924066011,0.4711595083200621,1.4324e-05
top1,2.2,5,1.5924000000000002e-05,1.699e-11,-1.5924000000000002e-05,0.0039904886918772,1.6419999999999992e-05,1.699e-11,40,5,1.33e-07,7.956672808885382,0.448228586027128,1.5924000000000002e-05
top1,2.3000000000000003,5,1.7608e-05,-1.096e-11,-1.7608e-05,0.0041961887469464,1.7270000000000013e-05,1.096e-11,40,5,1.33e-07,7.959519630533622,0.4262839132895562,1.7608e-05
top1,2.4,5,1.9378e-05,-1.1100000000000001e-12,-1.9382e-05,0.0044020449793249,1.8160000000000016e-05,1.1100000000000001e-12,40,5,1.33e-07,7.996014049145994,0.4072224143207053,1.9378e-05
top1,2.5,5,2.124e-05,4.22e-11,-2.124e-05,0.0046086874487211,1.9059999999999984e-05,4.22e-11,40,5,1.33e-07,8.03700500822027,0.3899589853400794,2.124e-05
top1,2.6,5,2.319e-05,1.8900000000000002e-12,-2.3192e-05,0.0048155996511338,1.9959999999999992e-05,1.8900000000000002e-12,40,5,1.33e-07,8.07219184404762,0.3739858178769758,2.319e-05
top1,2.7,5,2.5232e-05,-5.0100000000000007e-11,-2.5236e-05,0.0050231464243041,2.0949999999999998e-05,5.0100000000000007e-11,40,5,1.33e-07,8.171104408599286,0.360663475799918,2.5232e-05
top1,2.8000000000000003,5,2.738e-05,-1.96e-12,-2.7374000000000003e-05,0.0052325901807804,2.1940000000000027e-05,1.96e-12,40,5,1.33e-07,8.261057501131662,0.3481668910018158,2.738e-05
top1,2.9,5,2.962e-05,2.53e-11,-2.9626e-05,0.0054424259296751,2.290000000000001e-05,2.53e-11,40,5,1.33e-07,8.318212863355889,0.3358666342199128,2.962e-05
top1,3.0,5,3.196e-05,-6.980000000000001e-12,-3.1962e-05,0.005653317610041,2.388999999999997e-05,6.980000000000001e-12,40,5,1.33e-07,8.390631295624901,0.3247406898656454,3.196e-05
top1,3.1,5,3.4398e-05,-1.21e-12,-3.4396e-05,0.0058649808183829,2.490999999999998e-05,1.21e-12,40,5,1.33e-07,8.475059357730737,0.3145681666658581,3.4398e-05
top1,3.2,5,3.6942e-05,3.3850000000000005e-11,-3.6944e-05,0.0060779930898282,2.594999999999999e-05,3.3850000000000005e-11,40,5,1.33e-07,8.564831155168127,0.3051518471732481,3.6942e-05
top1,3.3000000000000003,5,3.9588e-05,1.3900000000000001e-12,-3.9594e-05,0.0062918995541887,2.706000000000005e-05,1.3900000000000001e-12,40,5,1.33e-07,8.688990324643125,0.2968701415210088,3.9588e-05
top1,3.4,5,4.2354e-05,-5.032000000000001e-11,-4.2352e-05,0.0065079950829729,2.818000000000003e-05,5.032000000000001e-11,40,5,1.33e-07,8.80974423378734,0.289027054295468,4.2354e-05
top1,3.5,5,4.5224e-05,-1.6300000000000001e-12,-4.522e-05,0.0067248791810708,2.9209999999999983e-05,1.6300000000000001e-12,40,5,1.33e-07,8.865141413755737,0.2805828171405886,4.5224e-05
