n_hidden,seed,n_params,epochs_run,best_epoch,best_val_mse,test_rmse_log10ID,test_mae_log10ID,test_r2_log10ID,train_seconds
22,2,133,300,298,0.09417681396007538,0.9701265692710876,0.6141068935394287,0.9001850485801697,25.853567838668823
23,0,139,300,299,0.09145990014076233,0.9530350565910339,0.6120176911354065,0.9036710858345032,24.64216160774231
23,1,139,300,298,0.09187067300081253,0.9561883807182312,0.611271858215332,0.9030326008796692,23.747559309005737
23,2,139,300,295,0.09074795991182327,0.9519034028053284,0.5988448262214661,0.9038997292518616,24.310457944869995
24,0,145,300,297,0.0897868275642395,0.9452567100524902,0.5932773351669312,0.905237078666687,24.22323989868164
24,1,145,300,298,0.08955789357423782,0.9425613880157471,0.5892409682273865,0.9057767391204834,25.124805212020874
24,2,145,300,299,0.09160689264535904,0.9526345729827881,0.6030620336532593,0.9037520289421082,24.873926877975464
25,0,151,300,300,0.09071604907512665,0.9496363401412964,0.6058771014213562,0.9043569564819336,24.569064378738403
25,1,151,300,298,0.09078149497509003,0.9472318887710571,0.5979021787643433,0.9048406481742859,24.242159128189087
25,2,151,300,295,0.08980834484100342,0.9441107511520386,0.5894672274589539,0.9054667353630066,24.879530429840088
26,0,157,300,300,0.0893482193350792,0.9398511648178101,0.5932747721672058,0.9063178300857544,24.631352186203003
26,1,157,300,298,0.08924704045057297,0.9414801597595215,0.5852475166320801,0.9059928059577942,24.50950002670288
26,2,157,300,299,0.0901210680603981,0.9466372728347778,0.5847283601760864,0.9049600958824158,24.45035147666931
27,0,163,300,298,0.09259931743144989,0.9608815908432007,0.6128854155540466,0.90207839012146,24.272299766540527
27,1,163,300,297,0.09055823087692261,0.9498181343078613,0.5937504768371582,0.9043202996253967,24.1371488571167
27,2,163,300,297,0.09013914316892624,0.9480449557304382,0.5904437899589539,0.9046772122383118,24.436908721923828
28,0,169,300,299,0.09096687287092209,0.9496763944625854,0.6098839044570923,0.9043488502502441,24.24367046356201
28,1,169,300,300,0.09082520753145218,0.9509555101394653,0.5935208797454834,0.9040910005569458,23.993030071258545
28,2,169,300,300,0.08936402946710587,0.9418298006057739,0.5913760662078857,0.9059229493141174,25.0983989238739
29,0,175,300,297,0.08874780684709549,0.9394506216049194,0.5830138921737671,0.9063976407051086,24.292186975479126
29,1,175,300,299,0.09108202904462814,0.9505825638771057,0.6016702651977539,0.9041662216186523,23.851563930511475
29,2,175,300,299,0.09210444986820221,0.9573991298675537,0.6096045970916748,0.9027868509292603,24.129639148712158
30,0,181,300,290,0.0905008539557457,0.9464665651321411,0.5932157039642334,0.9049943685531616,23.74641227722168
30,1,181,300,295,0.08949099481105804,0.9433984756469727,0.5856526494026184,0.9056093096733093,23.446373224258423
30,2,181,300,294,0.09052324295043945,0.9496903419494629,0.5930206775665283,0.9043460488319397,23.745357990264893
31,0,187,300,294,0.09213676303625107,0.9595698714256287,0.6064646244049072,0.9023455381393433,25.51054835319519
31,1,187,300,297,0.08919190615415573,0.9408197402954102,0.5811499953269958,0.9061245918273926,24.45542001724243
31,2,187,300,300,0.09247588366270065,0.9587199687957764,0.6081096529960632,0.9025184512138367,23.98012399673462
32,0,193,300,294,0.08929307758808136,0.9405238628387451,0.5856099724769592,0.906183660030365,23.488466501235962
32,1,193,300,300,0.09038413316011429,0.9471095204353333,0.5941300392150879,0.9048652648925781,24.26094961166382
32,2,193,300,296,0.08927953988313675,0.941997766494751,0.583785355091095,0.9058893918991089,25.3459734916687
