path,fname,W,L,pos,rep,run,label,vd_monotonic_frac,sign_flips,spikes,vg_order_violation_frac,off_state_max_abs_id,on_state_max_abs_id,off_state_leaky,vd_rise_ratio,vg_modulation_ratio,no_vd_dependence,no_vg_modulation,score
/home/user/igzoANN/scripts/../data/tft output [s5tft40-20bot1(1) ; 6_5_2026 3_19_17 pm].csv_s5_W40_L20_bot_1.csv,tft output [s5tft40-20bot1(1) ; 6_5_2026 3_19_17 pm].csv_s5_W40_L20_bot_1.csv,40,20,bot,1,,bot_1,1.0,0,0,0.0,5.660200000000001e-10,2.4486e-05,False,4.752994157268474,39.72549401343327,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft40-20bot2(1) ; 6_5_2026 4_40_40 pm].csv_s5_W40_L20_bot_2.csv,tft output [s5tft40-20bot2(1) ; 6_5_2026 4_40_40 pm].csv_s5_W40_L20_bot_2.csv,40,20,bot,2,,bot_2,0.96,0,0,0.0,5.4902e-12,7.9239e-06,False,7.849642383056288,158478.0,False,False,98.4
/home/user/igzoANN/scripts/../data/tft output [s5tft40-20top1(1) ; 6_5_2026 11_01_32 am].csv_s5_W40_L20_top_1.csv,tft output [s5tft40-20top1(1) ; 6_5_2026 11_01_32 am].csv_s5_W40_L20_top_1.csv,40,20,top,1,,top_1,1.0,5,0,0.004901960784313725,2.0332e-05,2.1452e-05,True,1474.1211071713258,1.056124458448208,False,True,22.30392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft40-20top2(2) ; 6_5_2026 12_10_45 pm].csv_s5_W40_L20_top_2_run2.csv,tft output [s5tft40-20top2(2) ; 6_5_2026 12_10_45 pm].csv_s5_W40_L20_top_2_run2.csv,40,20,top,2,_run2,top_2_run2,0.5640000000000001,0,0,0.20098039215686275,3.1439000000000004e-10,3.0757e-10,False,0.9209015591362777,1.0328516553868667,True,True,-45.4792156862745
/home/user/igzoANN/scripts/../data/tft output [s5tft80-5bot2(1) ; 6_5_2026 3_55_22 pm].csv_s5_W80_L5_bot_2.csv,tft output [s5tft80-5bot2(1) ; 6_5_2026 3_55_22 pm].csv_s5_W80_L5_bot_2.csv,80,5,bot,2,,bot_2,1.0,0,0,0.0,4.958e-12,0.0001331,False,6.846707818930041,517.9391392326252,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft80-5bot1(1) ; 6_5_2026 2_35_33 pm].csv_s5_W80_L5_bot_1.csv,tft output [s5tft80-5bot1(1) ; 6_5_2026 2_35_33 pm].csv_s5_W80_L5_bot_1.csv,80,5,bot,1,,bot_1,1.0,0,0,0.004901960784313725,7.59546e-08,0.00022908,True,5.482743765257767,67.98836588116578,False,False,84.80392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft80-5top1(1) ; 6_5_2026 10_25_10 am].csv_s5_W80_L5_top_1.csv,tft output [s5tft80-5top1(1) ; 6_5_2026 10_25_10 am].csv_s5_W80_L5_top_1.csv,80,5,top,1,,top_1,1.0,0,0,0.0,2.7478e-05,3.2504e-05,True,77.42365775808679,1.1426562609857274,False,True,25.0
/home/user/igzoANN/scripts/../data/tft output [s5tft80-5top2(1) ; 6_5_2026 11_22_45 am].csv_s5_W80_L5_top_2.csv,tft output [s5tft80-5top2(1) ; 6_5_2026 11_22_45 am].csv_s5_W80_L5_top_2.csv,80,5,top,2,,top_2,1.0,5,0,0.0196078431372549,0.00018094,0.00018094,True,1376.5243902439024,0.9990043146365749,False,True,21.715686274509807
/home/user/igzoANN/scripts/../data/tft output [s5tft80-10bot2(1) ; 6_5_2026 4_14_48 pm].csv_s5_W80_L10_bot_2.csv,tft output [s5tft80-10bot2(1) ; 6_5_2026 4_14_48 pm].csv_s5_W80_L10_bot_2.csv,80,10,bot,2,,bot_2,1.0,0,0,0.0,5.2502e-12,5.946e-05,False,3.993820526598603,429.004329004329,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft80-10bot1(2) ; 6_5_2026 2_53_40 pm].csv_s5_W80_L10_bot_1_run2.csv,tft output [s5tft80-10bot1(2) ; 6_5_2026 2_53_40 pm].csv_s5_W80_L10_bot_1_run2.csv,80,10,bot,1,_run2,bot_1_run2,1.0,0,0,0.0,3.0131999999999995e-08,0.000102358,True,7.520793534166054,47.18480615866869,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft80-10top1(1) ; 6_5_2026 10_45_25 am].csv_s5_W80_L10_top_1.csv,tft output [s5tft80-10top1(1) ; 6_5_2026 10_45_25 am].csv_s5_W80_L10_top_1.csv,80,10,top,1,,top_1,1.0,0,0,0.0,4.1308e-08,9.1944e-05,True,5.108567618624292,32.513172318681704,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft80-10top2(1) ; 6_5_2026 11_52_19 am].csv_s5_W80_L10_top_2.csv,tft output [s5tft80-10top2(1) ; 6_5_2026 11_52_19 am].csv_s5_W80_L10_top_2.csv,80,10,top,2,,top_2,1.0,0,0,0.0,3.5114399999999994e-08,9.7574e-05,True,4.870420285514625,33.12983838109466,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft80-15bot2(1) ; 6_5_2026 4_29_35 pm].csv_s5_W80_L15_bot_2.csv,tft output [s5tft80-15bot2(1) ; 6_5_2026 4_29_35 pm].csv_s5_W80_L15_bot_2.csv,80,15,bot,2,,bot_2,1.0,0,0,0.0,7.0332e-12,6.236e-05,False,4.766855220914234,124.615323128572,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft80-15bot1(2) ; 6_5_2026 3_08_41 pm].csv_s5_W80_L15_bot_1_run2.csv,tft output [s5tft80-15bot1(2) ; 6_5_2026 3_08_41 pm].csv_s5_W80_L15_bot_1_run2.csv,80,15,bot,1,_run2,bot_1_run2,1.0,0,0,0.0,1.22574e-08,7.1444e-05,True,4.987016613150915,38.101434590155186,False,False,85.0
