W,L,VD,VG,ID,gm
5,5,1.0,-2.95,1.6720193100275733e-12,4.73663547426349e-13
5,5,1.0,-2.9,1.6936687857758217e-12,3.904910111038902e-13
5,5,1.0,-2.85,1.7108986646843204e-12,2.9714884708468286e-13
5,5,1.0,-2.8,1.7232445429130427e-12,1.9547280350138652e-13
5,5,1.0,-2.75,1.7303442831095563e-12,8.770849167843098e-14
5,5,1.0,-2.7,1.731956883443295e-12,-2.3558053897207104e-14
5,5,1.0,-2.65,1.7279772371410467e-12,-1.3549454996494945e-13
5,5,1.0,-2.6,1.7184456823472554e-12,-2.4513549186283956e-13
5,5,1.0,-2.55,1.7035515946666123e-12,-3.495059147504782e-13
5,5,1.0,-2.5,1.6836307215011736e-12,-4.457462860689321e-13
5,5,1.0,-2.45,1.6591564543403986e-12,-5.312284259906362e-13
5,5,1.0,-2.4,1.6307257304987003e-12,-6.036529230080141e-13
5,5,1.0,-2.35,1.5990406970361543e-12,-6.61120079423912e-13
5,5,1.0,-2.3,1.5648876119834126e-12,-7.021687589988758e-13
5,5,1.0,-2.25,1.5291146712465373e-12,-7.257802725728466e-13
5,5,1.0,-2.2,1.4926105223481718e-12,-7.313472242202909e-13
5,5,1.0,-2.15,1.4562851673962873e-12,-7.186096531546059e-13
5,5,1.0,-2.1,1.4210547947735098e-12,-6.875625112624833e-13
5,5,1.0,-2.05,1.3878318536808713e-12,-6.383392809030385e-13
5,5,1.0,-2.0,1.3575214482482303e-12,-5.710762447849162e-13
5,5,1.0,-1.95,1.3310249321391407e-12,-4.857605504324654e-13
5,5,1.0,-1.9,1.30925148338356e-12,-3.820628062421024e-13
5,5,1.0,-1.85,1.2931384831935711e-12,-2.591515467787558e-13
5,5,1.0,-1.8,1.2836817616092443e-12,-1.1548248822324734e-13
5,5,1.0,-1.75,1.2819772612163096e-12,5.1450103949742345e-14
5,5,1.0,-1.7,1.2892764755952735e-12,2.454197838151957e-13
5,5,1.0,-1.65,1.3070592365100305e-12,4.718613386101449e-13
5,5,1.0,-1.6,1.3371291947680157e-12,7.383934834001622e-13
5,5,1.0,-1.55,1.3817398803830813e-12,1.055531312441176e-12
5,5,1.0,-1.5,1.4437628691303314e-12,1.4376753449186113e-12
5,5,1.0,-1.45,1.5269148300040537e-12,1.904502742706083e-12
5,5,1.0,-1.4,1.6360678502305102e-12,2.4829438341952326e-12
5,5,1.0,-1.35,1.7776785993715315e-12,3.2100132179025874e-12
5,5,1.0,-1.3,1.9603883763097433e-12,4.136894299343115e-12
5,5,1.0,-1.25,2.195870580862475e-12,5.334871773621315e-12
5,5,1.0,-1.2,2.5000387715961465e-12,6.904002805165321e-12
5,5,1.0,-1.15,2.8947834629886742e-12,8.985866955285836e-12
5,5,1.0,-1.1,3.410488682733317e-12,1.1782416773486299e-11
5,5,1.0,-1.05,4.0897044721077e-12,1.5583985054183897e-11
5,5,1.0,-1.0,4.9925407470287374e-12,2.0811069413845353e-11
5,5,1.0,-0.95,6.204633918169381e-12,2.8076872350684832e-11
5,5,1.0,-0.9,7.848968944935679e-12,3.8281104071697056e-11
5,5,1.0,-0.85,1.0103487262926978e-11,5.275078975227771e-11
5,5,1.0,-0.8,1.3227377839607819e-11,7.345148948524847e-11
5,5,1.0,-0.75,1.7600378785005986e-11,1.0330338244058466e-10
5,5,1.0,-0.7,2.3781507199279356e-11,1.4665223009742118e-10
5,5,1.0,-0.65,3.2596642110043135e-11,2.0996654773714932e-10
5,5,1.0,-0.6,4.5268624608550653e-11,3.028604146359507e-10
5,5,1.0,-0.55,6.360936179562109e-11,4.3957652241745907e-10
5,5,1.0,-0.5,9.03011542597289e-11,6.411048670308804e-10
5,5,1.0,-0.45,1.2930429465589135e-10,9.381543539648368e-10
5,5,1.0,-0.4,1.864397456955911e-10,1.3752279126663445e-09
5,5,1.0,-0.35,2.70208590674627e-10,2.016059915929826e-09
5,5,1.0,-0.3,3.929221153526124e-10,2.9506328874566604e-09
5,5,1.0,-0.25,5.72224539979595e-10,4.303866184617695e-09
5,5,1.0,-0.2,8.330895586853077e-10,6.245827037516242e-09
5,5,1.0,-0.15,1.2103552887486638e-09,9.00292551263751e-09
5,5,1.0,-0.1,1.7518223903481197e-09,1.2869014407318711e-08
5,5,1.0,-0.05,2.521870134510874e-09,1.821466110744015e-08
5,5,1.0,-0.0,3.605441626239774e-09,2.5492191442096815e-08
5,5,1.0,0.05,5.112115535307968e-09,3.5233594731909086e-08
5,5,1.0,0.1,7.179830753556188e-09,4.803824622617802e-08
5,5,1.0,0.15,9.97768707205547e-09,6.454787513991686e-08
5,5,1.0,0.2,1.3707143918438929e-08,8.540744130744048e-08
5,5,1.0,0.25,1.860091944158005e-08,1.1121258428458468e-07
5,5,1.0,0.3,2.4918987674409822e-08,1.4244686009231936e-07
5,5,1.0,0.35,3.2941299477253034e-08,1.7941464038224687e-07
5,5,1.0,0.4,4.295720430467749e-08,2.2217771787408871e-07
5,5,1.0,0.45,5.525198442966078e-08,2.7050472946697217e-07
5,5,1.0,0.5,7.009136388086991e-08,3.2384203148930126e-07
5,5,1.0,0.55,8.770523922266247e-08,3.8131252127627113e-07
5,5,1.0,0.6,1.0827212055095302e-07,4.41745373057065e-07
5,5,1.0,0.65,1.319058138968882e-07,5.03735372629997e-07
5,5,1.0,0.7,1.5864570302749086e-07,5.65726321391408e-07
5,5,1.0,0.75,1.8845162373043694e-07,6.261096492012418e-07
5,5,1.0,0.8,2.2120382739492822e-07,6.83327524986927e-07
5,5,1.0,0.85,2.567079849490652e-07,7.359696355483976e-07
5,5,1.0,0.9,2.9470467203064636e-07,7.828542953978425e-07
5,5,1.0,0.95,3.3488237262792185e-07,8.230872307970024e-07
5,5,1.0,1.0,3.768927863676913e-07,8.560946601387686e-07
5,5,1.0,1.05,4.2036713873876466e-07,8.816305658915727e-07
5,5,1.0,1.1,4.649322604987606e-07,8.997608256652742e-07
5,5,1.0,1.15,5.102253886562442e-07,9.108288300413108e-07
5,5,1.0,1.2,5.559069025517916e-07,9.154082514098398e-07
5,5,1.0,1.25,6.016704994055181e-07,9.142488016394927e-07
5,5,1.0,1.3,6.472505951761232e-07,9.082203041195206e-07
5,5,1.0,1.35,6.924269800906532e-07,8.982594396700157e-07
5,5,1.0,1.4,7.370269469911371e-07,8.853223395966943e-07
5,5,1.0,1.45,7.809252388452049e-07,8.70344990685072e-07
5,5,1.0,1.5,8.240422320949565e-07,8.542123293653001e-07
5,5,1.0,1.55,8.66340793371832e-07,8.377360204403068e-07
5,5,1.0,1.6,9.078222297983273e-07,8.216402730675637e-07
5,5,1.0,1.65,9.485217095815652e-07,8.065546376440274e-07
5,5,1.0,1.7,9.88503470877774e-07,7.930125214040018e-07
5,5,1.0,1.75,1.027856072085776e-06,7.814541149340113e-07
5,5,1.0,1.8,1.0666878726735677e-06,7.722324906174505e-07
5,5,1.0,1.85,1.1051228749963284e-06,7.656217750164514e-07
5,5,1.0,1.9,1.1432970070243615e-06,7.618264752951231e-07
5,5,1.0,1.95,1.1813548846193715e-06,7.6099122835003e-07
5,5,1.0,2.0,1.219447060007841e-06,7.6321042192292e-07
5,5,1.0,2.05,1.2577277396930711e-06,7.685372983201911e-07
5,5,1.0,2.1,1.2963529390992312e-06,7.76992287768002e-07
5,5,1.0,2.15,1.335479031447999e-06,7.885704282923186e-07
5,5,1.0,2.2,1.3752616434254112e-06,8.03247813454266e-07
5,5,1.0,2.25,1.4158548488940314e-06,8.209870710186618e-07
5,5,1.0,2.3,1.4574106131957214e-06,8.417419181838798e-07
5,5,1.0,2.35,1.5000784436044074e-06,8.654608660310254e-07
5,5,1.0,2.4,1.5440052055396954e-06,8.920901608510676e-07
5,5,1.0,2.45,1.5893350687178917e-06,9.21576056072527e-07
5,5,1.0,2.5,1.6362095521182551e-06,9.538665082454582e-07
