W,L,VG,VD,ID,gds
5,5,1.0,3.7,1.1125135156883868e-06,2.1625136323412008e-07
5,5,1.0,3.75,1.123275216207994e-06,2.1422360355549979e-07
5,5,1.0,3.8,1.1339365606022528e-06,2.122369114124614e-07
5,5,1.0,3.85,1.1444995697819084e-06,2.1028995987453608e-07
5,5,1.0,3.9,1.15496619421785e-06,2.0838126125079612e-07
5,5,1.0,3.95,1.1653383063421758e-06,2.0650918451719937e-07
5,5,1.0,4.0,1.1756176938002252e-06,2.04671971928424e-07
5,5,1.0,4.05,1.1858060535129424e-06,2.0286775482097215e-07
5,5,1.0,4.1,1.1959049865093981e-06,2.0109456861850008e-07
5,5,1.0,4.15,1.2059159934899426e-06,1.9935036705381052e-07
5,5,1.0,4.2,1.2158404710811708e-06,1.9763303562467497e-07
5,5,1.0,4.25,1.2256797087450174e-06,1.9594040430290306e-07
5,5,1.0,4.3,1.2354348863049579e-06,1.9427025951766968e-07
5,5,1.0,4.35,1.2451070720538296e-06,1.9262035543543683e-07
5,5,1.0,4.4,1.2546972214084067e-06,1.9098842455955536e-07
5,5,1.0,4.45,1.2642061760775622e-06,1.8937218767326565e-07
5,5,1.0,4.5,1.273634663711581e-06,1.877693631499781e-07
5,5,1.0,4.55,1.282983298001662e-06,1.861776756547923e-07
5,5,1.0,4.6,1.2922525791998548e-06,1.8459486426104232e-07
5,5,1.0,4.65,1.301442895030602e-06,1.830186900052963e-07
5,5,1.0,4.7,1.3105545219665346e-06,1.8144694290384575e-07
5,5,1.0,4.75,1.3195876268420808e-06,1.7987744845311877e-07
5,5,1.0,4.8,1.3285422687795874e-06,1.783080736358694e-07
5,5,1.0,4.85,1.3374184014039617e-06,1.7673673245431394e-07
5,5,1.0,4.9,1.3462158753224341e-06,1.7516139101064835e-07
5,5,1.0,4.95,1.354934440847582e-06,1.7358007215468597e-07
5,5,1.0,5.0,1.3635737509421798e-06,1.71990859717549e-07
5,5,2.0,0.0,1.5302602605512633e-09,9.923509595552285e-08
5,5,2.0,0.05,2.762343591062837e-08,1.3043589755411364e-06
5,5,2.0,0.1,1.572343144645867e-07,3.701385132468426e-06
5,5,2.0,0.15,3.48213624557179e-07,3.482644330999284e-06
5,5,2.0,0.2,4.873172664806508e-07,2.110161709233388e-06
5,5,2.0,0.25,5.68882922589991e-07,1.2582553416035317e-06
5,5,2.0,0.3,6.213926705571485e-07,8.996541184832575e-07
5,5,2.0,0.35,6.626799135698331e-07,7.757545038447734e-07
