W,L,VD,VG,ID,gm
5,5,1.0,-3.75,2.0563548414744023e-12,-2.665497399311372e-13
5,5,1.0,-3.7,2.044707712637425e-12,-1.9951129522955683e-13
5,5,1.0,-3.65,2.0363871461079257e-12,-1.334674756509503e-13
5,5,1.0,-3.6,2.0313462014968326e-12,-6.831023224279398e-14
5,5,1.0,-3.55,2.0295427801103184e-12,-3.954419059482039e-15
5,5,1.0,-3.5,2.0309384050166017e-12,5.9659137552244e-14
5,5,1.0,-3.45,2.035496835707463e-12,1.2256008736096538e-13
5,5,1.0,-3.4,2.0431824926075818e-12,1.8474449859675466e-13
5,5,1.0,-3.35,2.0539586657615827e-12,2.461702818477634e-13
5,5,1.0,-3.3,2.067785481796187e-12,3.0675209950945936e-13
5,5,1.0,-3.25,2.084617603990506e-12,3.663557873280029e-13
5,5,1.0,-3.2,2.1044016423281017e-12,4.2479234445755925e-13
5,5,1.0,-3.15,2.1270732541481335e-12,4.818115868585104e-13
5,5,1.0,-3.1,2.152553921912159e-12,5.370956068797823e-13
5,5,1.0,-3.05,2.180747403162248e-12,5.902522403139521e-13
5,5,1.0,-3.0,2.2115358594960335e-12,6.40808811443123e-13
5,5,1.0,-2.95,2.2447756868603e-12,6.882065062322911e-13
5,5,1.0,-2.9,2.280293089154941e-12,7.317958124478838e-13
5,5,1.0,-2.85,2.3178794614294178e-12,7.708335602319367e-13
5,5,1.0,-2.8,2.3572866780426228e-12,8.044821928667067e-13
5,5,1.0,-2.75,2.3982224149521358e-12,8.31811988215281e-13
5,5,1.0,-2.7,2.440345673304905e-12,8.518070271607084e-13
5,5,1.0,-2.65,2.4832627126777437e-12,8.633757540868207e-13
5,5,1.0,-2.6,2.5265236449450307e-12,8.653669811757487e-13
5,5,1.0,-2.55,2.5696199813157284e-12,8.565921359486361e-13
5,5,1.0,-2.5,2.6119834621693175e-12,8.358544217014925e-13
5,5,1.0,-2.45,2.652986527605965e-12,8.019853353033817e-13
5,5,1.0,-2.4,2.691944800939352e-12,7.538886509359188e-13
5,5,1.0,-2.35,2.728121951896153e-12,6.905915222271143e-13
5,5,1.0,-2.3,2.760737274982301e-12,6.113017787483888e-13
5,5,1.0,-2.25,2.7889762555825183e-12,5.154698092541149e-13
5,5,1.0,-2.2,2.8120042972004874e-12,4.0285266369525076e-13
5,5,1.0,-2.15,2.828983645155474e-12,2.7357721915495867e-13
5,5,1.0,-2.1,2.8390933653878766e-12,1.281985124275873e-13
5,5,1.0,-2.05,2.84155202619163e-12,-3.2251266176299735e-14
5,5,1.0,-2.0,2.835642494937849e-12,-2.0622799405879075e-13
5,5,1.0,-1.95,2.8207380157135777e-12,-3.916599560970518e-13
5,5,1.0,-1.9,2.796328496925406e-12,-5.859557944680737e-13
5,5,1.0,-1.85,2.7620457341158594e-12,-7.860396410672299e-13
5,5,1.0,-1.8,2.7176861486377754e-12,-9.88415557171873e-13
5,5,1.0,-1.75,2.6632295631541414e-12,-1.189261468539735e-12
5,5,1.0,-1.7,2.598852582090974e-12,-1.3845504721047116e-12
5,5,1.0,-1.65,2.5249353135739616e-12,-1.570194889758983e-12
5,5,1.0,-1.6,2.4420604624318376e-12,-1.7422060051265862e-12
5,5,1.0,-1.55,2.3510042313883708e-12,-1.896860328833886e-12
5,5,1.0,-1.5,2.2527189647984493e-12,-2.030861786631274e-12
5,5,1.0,-1.45,2.1483080177757856e-12,-2.141488660954049e-12
5,5,1.0,-1.4,2.0389938844533543e-12,-2.226714601956106e-12
5,5,1.0,-1.35,1.9260811183995778e-12,-2.2852945979228975e-12
5,5,1.0,-1.3,1.8109159734412583e-12,-2.316809354023289e-12
5,5,1.0,-1.25,1.6948449405880921e-12,-2.3216648295461467e-12
5,5,1.0,-1.2,1.5791744278164633e-12,-2.3010473714498687e-12
5,5,1.0,-1.15,1.4651337151752289e-12,-2.2568385366448114e-12
5,5,1.0,-1.1,1.3538430303405799e-12,-2.191496895453538e-12
5,5,1.0,-1.05,1.2462881614676114e-12,-2.1079164948910532e-12
5,5,1.0,-1.0,1.1433025023043287e-12,-2.0092729895344932e-12
5,5,1.0,-0.95,1.0455568649111142e-12,-1.8988686258358854e-12
5,5,1.0,-0.9,9.535568545928283e-13,-1.7799863548411693e-12
5,5,1.0,-0.85,8.676471297886492e-13,-1.6557615467021717e-12
5,5,1.0,-0.8,7.880215041650456e-13,-1.5290773816010973e-12
5,5,1.0,-0.75,7.14737610542856e-13,-1.402487331648606e-12
5,5,1.0,-0.7,6.477347413597828e-13,-1.2781655516109775e-12
5,5,1.0,-0.65,5.868534979311211e-13,-1.1578837316739848e-12
5,5,1.0,-0.6,5.318559992371837e-13,-1.0430112166579157e-12
5,5,1.0,-0.55,4.824455919411558e-13,-9.345340513436515e-13
5,5,1.0,-0.5,4.382852363140975e-13,-8.330880695685576e-13
5,5,1.0,-0.45,3.9901398913627726e-13,-7.390011333401216e-13
5,5,1.0,-0.4,3.6426124073708385e-13,-6.523400295529673e-13
5,5,1.0,-0.35,3.3365857189756384e-13,-5.729582085461318e-13
5,5,1.0,-0.3,3.068492670196412e-13,-5.005413661226355e-13
5,5,1.0,-0.25,2.834956487206199e-13,-4.346487131892484e-13
