W,L,VG,VD,ID,gds
5,5,1.0,2.8,4.3140238380529553e-13,-4.483752366364438e-14
5,5,1.0,2.85,4.2920100871464336e-13,-4.322246975677819e-14
5,5,1.0,2.9,4.270796451396136e-13,-4.1636918022234195e-14
5,5,1.0,2.95,4.250368395315766e-13,-4.008000990270035e-14
5,5,1.0,3.0,4.230711806955963e-13,-3.8550909761519735e-14
5,5,1.0,3.05,4.2118129865215374e-13,-3.7048804556748074e-14
5,5,1.0,3.1,4.1936586351719466e-13,-3.557290344037061e-14
5,5,1.0,3.15,4.176235844035392e-13,-3.412243730731965e-14
5,5,1.0,3.2,4.159532083456931e-13,-3.269665831226982e-14
5,5,1.0,3.25,4.1435351924939157e-13,-3.1294839367255354e-14
5,5,1.0,3.3,4.1282333686647236e-13,-2.9916273629569715e-14
5,5,1.0,3.35,4.113615157955266e-13,-2.856027398675888e-14
5,5,1.0,3.4,4.099669445081958e-13,-2.7226172543579033e-14
5,5,1.0,3.45,4.0863854440105065e-13,-2.5913320114408108e-14
5,5,1.0,3.5,4.073752688726271e-13,-2.462108572354797e-14
5,5,1.0,3.55,4.061761024252351e-13,-2.3348856115098265e-14
5,5,1.0,3.6,4.050400597909872e-13,-2.2096035273532955e-14
5,5,1.0,3.65,4.0396618508155024e-13,-2.0862043955714384e-14
5,5,1.0,3.7,4.029535509609527e-13,-1.964631923479405e-14
5,5,1.0,3.75,4.0200125784094334e-13,-1.8448314056204074e-14
5,5,1.0,3.8,4.011084330982073e-13,-1.7267496805822792e-14
5,5,1.0,3.85,4.00274230312893e-13,-1.6103350890285047e-14
5,5,1.0,3.9,3.9949782852783067e-13,-1.495537432929218e-14
5,5,1.0,3.95,3.9877843152779263e-13,-1.382307935977702e-14
5,5,1.0,4.0,3.981152671383047e-13,-1.2705992051685544e-14
5,5,1.0,4.05,3.9750758654337245e-13,-1.1603651935155215e-14
5,5,1.0,4.1,3.9695466362153716e-13,-1.05156116388036e-14
5,5,1.0,4.15,3.964557942997779e-13,-9.441436538897708e-15
5,5,1.0,4.2,3.960102959246905e-13,-8.380704419085834e-15
5,5,1.0,4.25,3.9561750665038274e-13,-7.333005140443861e-15
5,5,1.0,4.3,3.952767848426743e-13,-6.297940321552209e-15
5,5,1.0,4.35,3.9498750849899225e-13,-5.275123028300058e-15
5,5,1.0,4.4,3.9474907468357386e-13,-4.2641774731953066e-15
5,5,1.0,4.45,3.9456089897744805e-13,-3.2647387238497084e-15
5,5,1.0,4.5,3.9442241494280827e-13,-2.2764524204364906e-15
5,5,1.0,4.55,3.943330736012309e-13,-1.2989745017935416e-15
5,5,1.0,4.6,3.942923429254455e-13,-3.3197093998261753e-16
5,5,1.0,4.65,3.942997073441138e-13,6.248825169920855e-16
5,5,1.0,4.7,3.9435466725931093e-13,1.571900594517607e-15
5,5,1.0,4.75,3.944567385762782e-13,2.509388733025861e-15
5,5,1.0,4.8,3.9460545224502677e-13,3.4376433221713718e-15
5,5,1.0,4.85,3.948003538135481e-13,4.356951927768511e-15
5,5,1.0,4.9,3.950410029921052e-13,5.267593511720107e-15
5,5,1.0,4.95,3.953269732284247e-13,6.169838645131582e-15
5,5,1.0,5.0,3.9565785129332544e-13,7.063949714844056e-15
5,5,2.0,0.0,4.043095560479458e-12,5.0028683270252795e-11
5,5,2.0,0.05,7.0699914286137795e-12,7.080330860839531e-11
5,5,2.0,0.1,1.105419842190224e-11,8.747354229671971e-11
5,5,2.0,0.15,1.5681226374900224e-11,9.608380349276178e-11
5,5,2.0,0.2,2.0509883731413085e-11,9.562448929802847e-11
5,5,2.0,0.25,2.5118895453204003e-11,8.771881997471642e-11
5,5,2.0,0.3,2.920545612093373e-11,7.522968354067867e-11
5,5,2.0,0.35,3.2612619039653375e-11,6.095887876107576e-11
5,5,2.0,0.4,3.53065069075524e-11,4.6968010633149046e-11
5,5,2.0,0.45,3.7334466668995654e-11,3.445661922166306e-11
5,5,2.0,0.5,3.878551711112324e-11,2.393131784332134e-11
5,5,2.0,0.55,3.976177635183797e-11,1.5448915514930503e-11
5,5,2.0,0.6,4.0361426900990015e-11,8.824539822628574e-12
5,5,2.0,0.65,4.0670468809780434e-11,3.774110425355864e-12
5,5,2.0,0.7,4.076005657376259e-11,-2.238567979130413e-15
5,5,2.0,0.75,4.068688984745096e-11,-2.77843584338112e-12
5,5,2.0,0.8,4.049499452067574e-11,-4.786230154290759e-12
5,5,2.0,0.85,4.0217932008440764e-11,-6.212753911238751e-12
5,5,2.0,0.9,3.9880945009717025e-11,-7.204587341887892e-12
5,5,2.0,0.95,3.9502828503880356e-11,-7.874196286024544e-12
5,5,2.0,1.0,3.9097466423152576e-11,-8.306633845219203e-12
5,5,2.0,1.05,3.8675047896495614e-11,-8.565563391579173e-12
5,5,2.0,1.1,3.8243006760650746e-11,-8.698284257422259e-12
5,5,2.0,1.15,3.7806735374674365e-11,-8.739746122371747e-12
5,5,2.0,1.2,3.7370120718596214e-11,-8.715667669051517e-12
5,5,2.0,1.25,3.693594373225076e-11,-8.644914793419632e-12
5,5,2.0,1.3,3.650617503805597e-11,-8.541291139442546e-12
5,5,2.0,1.35,3.6082193004509355e-11,-8.414874143500565e-12
5,5,2.0,1.4,3.5664944048168324e-11,-8.273005619920366e-12
5,5,2.0,1.45,3.525506020749638e-11,-8.121022868426585e-12
5,5,2.0,1.5,3.485294523289215e-11,-7.962796503406061e-12
5,5,2.0,1.55,3.445883754354937e-11,-7.801125165192778e-12
5,5,2.0,1.6,3.407285622148253e-11,-7.638024703544564e-12
5,5,2.0,1.65,3.369503458545883e-11,-7.474939786545535e-12
5,5,2.0,1.7,3.332534468059482e-11,-7.312898608090251e-12
5,5,2.0,1.75,3.296371512849369e-11,-7.1526259231668244e-12
5,5,2.0,1.8,3.2610044127437834e-11,-6.994625598251278e-12
5,5,2.0,1.85,3.226420891122912e-11,-6.839240878380187e-12
5,5,2.0,1.9,3.1926072622928924e-11,-6.686698374879042e-12
5,5,2.0,1.95,3.159548930198281e-11,-6.537140164466912e-12
5,5,2.0,2.0,3.127230749474908e-11,-6.390647208362654e-12
5,5,2.0,2.05,3.095637286077892e-11,-6.247256435000082e-12
5,5,2.0,2.1,3.0647530046647294e-11,-6.106973197579117e-12
5,5,2.0,2.15,3.034562402572603e-11,-5.969780355673636e-12
5,5,2.0,2.2,3.0050501048706366e-11,-5.835644892724316e-12
5,5,2.0,2.25,2.976200931056796e-11,-5.7045227349545164e-12
5,5,2.0,2.3,2.947999941113924e-11,-5.576362257460607e-12
5,5,2.0,2.35,2.920432466556802e-11,-5.451106832034096e-12
5,5,2.0,2.4,2.893484130580198e-11,-5.328696675516218e-12
5,5,2.0,2.45,2.8671408603084112e-11,-5.209070187606536e-12
5,5,2.0,2.5,2.841388893336025e-11,-5.092164916050872e-12
5,5,2.0,2.55,2.8162147801584925e-11,-4.9779182499103305e-12
5,5,2.0,2.6,2.7916053836579745e-11,-4.866267914438841e-12
5,5,2.0,2.65,2.7675478764958192e-11,-4.757152321271436e-12
5,5,2.0,2.7,2.7440297370316e-11,-4.650510813136217e-12
5,5,2.0,2.75,2.7210387442207585e-11,-4.546283831734053e-12
5,5,2.0,2.8,2.6985629718200535e-11,-4.4444130297119715e-12
5,5,2.0,2.85,2.6765907821401477e-11,-4.344841342009895e-12
5,5,2.0,2.9,2.655110819519049e-11,-4.247513027750705e-12
5,5,2.0,2.95,2.6341120036421703e-11,-4.152373690825718e-12
5,5,2.0,3.0,2.6135835228001233e-11,-4.059370285137155e-12
5,5,2.0,3.05,2.5935148271490797e-11,-3.968451108847549e-12
5,5,2.0,3.1,2.5738956220207765e-11,-3.879565790814761e-12
5,5,2.0,3.15,2.5547158613146465e-11,-3.792665271530662e-12
5,5,2.0,3.2,2.535965740995651e-11,-3.7077017802597764e-12
5,5,2.0,3.25,2.517635692713047e-11,-3.6246288096064655e-12
5,5,2.0,3.3,2.4997163775509074e-11,-3.54340108841496e-12
5,5,2.0,3.35,2.4821986799170064e-11,-3.463974553650893e-12
5,5,2.0,3.4,2.4650737015735756e-11,-3.3863063217417495e-12
5,5,2.0,3.45,2.4483327558121284e-11,-3.3103546597170504e-12
5,5,2.0,3.5,2.431967361772625e-11,-3.236078956397225e-12
5,5,2.0,3.55,2.415969238906099e-11,-3.1634396938065784e-12
5,5,2.0,3.6,2.4003303015793057e-11,-3.092398418935855e-12
5,5,2.0,3.65,2.385042653819713e-11,-3.0229177159435683e-12
5,5,2.0,3.7,2.3700985841979917e-11,-2.9549611788562623e-12
5,5,2.0,3.75,2.3554905608458956e-11,-2.8884933848073994e-12
5,5,2.0,3.8,2.341211226606517e-11,-2.8234798678414662e-12
5,5,2.0,3.85,2.3272533943137886e-11,-2.7598870932993352e-12
5,5,2.0,3.9,2.3136100421991063e-11,-2.6976824327903564e-12
5,5,2.0,3.95,2.3002743094210875e-11,-2.636834139754592e-12
5,5,2.0,4.0,2.2872394917164392e-11,-2.5773113256126238e-12
5,5,2.0,4.05,2.274499037168363e-11,-2.5190839364971603e-12
5,5,2.0,4.1,2.2620465420900552e-11,-2.462122730559175e-12
5,5,2.0,4.15,2.2498757470200938e-11,-2.4063992558407363e-12
5,5,2.0,4.2,2.2379805328271988e-11,-2.3518858287034318e-12
5,5,2.0,4.25,2.2263549169213862e-11,-2.2985555128021266e-12
5,5,2.0,4.3,2.214993049568964e-11,-2.246382098593278e-12
5,5,2.0,4.35,2.2038892103086662e-11,-2.195340083366968e-12
5,5,2.0,4.4,2.1930378044663298e-11,-2.1454046517896404e-12
5,5,2.0,4.45,2.1824333597656287e-11,-2.096551656947616e-12
5,5,2.0,4.5,2.1720705230323337e-11,-2.0487576018791165e-12
5,5,2.0,4.55,2.1619440569896738e-11,-2.0019996215833995e-12
5,5,2.0,4.6,2.1520488371426743e-11,-1.9562554654960015e-12
5,5,2.0,4.65,2.1423798487486387e-11,-1.9115034804181878e-12
5,5,2.0,4.7,2.1329321838722704e-11,-1.8677225938907654e-12
5,5,2.0,4.75,2.1237010385224918e-11,-1.8248922980004484e-12
5,5,2.0,4.8,2.1146817098694154e-11,-1.7829926336083264e-12
5,5,2.0,4.85,2.1058695935389164e-11,-1.7420041749903142e-12
5,5,2.0,4.9,2.0972601809833267e-11,-1.7019080148793376e-12
5,5,2.0,4.95,2.0888490569254565e-11,-1.662685749897974e-12
5,5,2.0,5.0,2.080631896875002e-11,-1.6243194663742989e-12
5,5,3.0,0.0,1.8726316464601462e-10,2.8507490074807075e-09
5,5,3.0,0.05,3.766792653940695e-10,4.796581699727516e-09
5,5,3.0,0.1,6.703113419271348e-10,6.939168134257281e-09
5,5,3.0,0.15,1.065046771488663e-09,8.75230525788414e-09
5,5,3.0,0.2,1.5326508635316387e-09,9.80229712842953e-09
5,5,3.0,0.25,2.0298700376373144e-09,9.937678506811264e-09
5,5,3.0,0.3,2.5131965983265273e-09,9.284624479671674e-09
5,5,3.0,0.35,2.949751680977361e-09,8.116848959119256e-09
5,5,3.0,0.4,3.3211045623354374e-09,6.720019970244942e-09
5,5,3.0,0.45,3.621650021742697e-09,5.313995322898821e-09
5,5,3.0,0.5,3.8546311504547354e-09,4.0331550036920464e-09
5,5,3.0,0.55,4.028115444835173e-09,2.9397005836496253e-09
5,5,3.0,0.6,4.151964181547353e-09,2.0471394064902707e-09
5,5,3.0,0.65,4.235953086346516e-09,1.341617758496065e-09
5,5,3.0,0.7,4.288810323721673e-09,7.970743930960668e-10
5,5,3.0,0.75,4.317857476874854e-09,3.844175257640981e-10
5,5,3.0,0.8,4.328992495856093e-09,7.631824939717645e-11
5,5,3.0,0.85,4.326837302224456e-09,-1.5075522960310861e-10
5,5,3.0,0.9,4.314944433431144e-09,-3.160459675254447e-10
5,5,3.0,0.95,4.296006793473293e-09,-4.3477634120943494e-10
5,5,3.0,1.0,4.272044990875239e-09,-5.187218906710765e-10
5,5,3.0,1.05,4.24456364584663e-09,-5.768515853283824e-10
5,5,3.0,1.1,4.214676542188141e-09,-6.159221982865036e-10
5,5,3.0,1.15,4.183204190627555e-09,-6.409840556286653e-10
5,5,3.0,1.2,4.1507485224666575e-09,-6.557905403248189e-10
5,5,3.0,1.25,4.117749360882417e-09,-6.631195261721825e-10
5,5,3.0,1.3,4.084526738344025e-09,-6.650205561603815e-10
5,5,3.0,1.35,4.051312407227248e-09,-6.630022701863626e-10
5,5,3.0,1.4,4.018273196510845e-09,-6.581731383442836e-10
5,5,3.0,1.45,3.98552826739417e-09,-6.513464003373366e-10
5,5,3.0,1.5,3.9531618309536835e-09,-6.431179260391016e-10
5,5,3.0,1.55,3.9212325048844474e-09,-6.339237779110872e-10
5,5,3.0,1.6,3.889780188738978e-09,-6.240826569029798e-10
5,5,3.0,1.65,3.8588311110509e-09,-6.138271430781891e-10
5,5,3.0,1.7,3.8284015318570376e-09,-6.033266580233962e-10
5,5,3.0,1.75,3.79850045739513e-09,-5.927043262689631e-10
5,5,3.0,1.8,3.76913162968856e-09,-5.820493481643788e-10
5,5,3.0,1.85,3.740294984175934e-09,-5.714260746433869e-10
5,5,3.0,1.9,3.7119877172490842e-09,-5.608806607694038e-10
5,5,3.0,1.95,3.684205067813743e-09,-5.504459429405067e-10
5,5,3.0,2.0,3.656940889236909e-09,-5.401450134531955e-10
5,5,3.0,2.05,3.63018806767481e-09,-5.299938400926145e-10
