VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
1.2,0.1,5.0757199999999993e-08,4e-13,-5.0384e-08,5.485800000000001e-08,4e-13,5.0757199999999993e-08,5,5,1.33e-07,4.124661654135338,0.476902950743221,-2.1575000000000185e-08
1.3,0.1,5.56432e-08,1.1900000000000002e-12,-5.329079999999999e-08,5.664699999999997e-08,1.1900000000000002e-12,5.56432e-08,5,5,1.33e-07,4.259172932330824,0.4375011058001461,-4.396999999999992e-08
1.4,0.1,6.20866e-08,4.7870000000000005e-11,-6.033739999999999e-08,4.6064000000000015e-08,4.7870000000000005e-11,6.20866e-08,5,5,1.33e-07,3.463458646616542,0.3326903100546286,-2.652499999999997e-08
1.5,0.1,6.4856e-08,1.566e-11,-6.43704e-08,5.134199999999997e-08,1.566e-11,6.4856e-08,5,5,1.33e-07,3.860300751879696,0.3323533514541355,-6.864500000000003e-08
1.6,0.1,7.2355e-08,-1.59e-12,-7.525519999999998e-08,3.233500000000001e-08,1.59e-12,7.2355e-08,5,5,1.33e-07,2.4312030075187967,0.2063972112284951,-1.327249999999997e-07
1.7,0.1,7.1323e-08,-1.5760000000000002e-11,-7.35794e-08,2.4797000000000043e-08,1.5760000000000002e-11,7.1323e-08,5,5,1.33e-07,1.8644360902255663,0.1439592101255815,1.5801499999999974e-07
1.8,0.1,7.73144e-08,-4.342e-11,-7.819299999999999e-08,6.393799999999995e-08,4.342e-11,7.73144e-08,5,5,1.33e-07,4.807368421052626,0.3581056437802262,1.297499999999998e-07
1.9,0.1,8.41106e-08,1.4400000000000001e-12,-8.9811e-08,5.074700000000002e-08,1.4400000000000001e-12,8.41106e-08,5,5,1.33e-07,3.8155639097744376,0.2678397606519578,-1.6061999999999997e-07
2.0,0.1,8.74638e-08,2.6500000000000002e-12,-8.621899999999999e-08,3.181399999999996e-08,2.6500000000000002e-12,8.74638e-08,5,5,1.33e-07,2.3920300751879666,0.1583509022262897,-2.8220000000000573e-08
2.1,0.1,9.047339999999999e-08,4.963e-11,-9.00062e-08,4.510299999999991e-08,4.963e-11,9.047339999999999e-08,5,5,1.33e-07,3.3912030075187896,0.2131437923183641,-4.703999999999963e-08
2.2,0.1,9.648439999999999e-08,1.117e-11,-9.18748e-08,2.240600000000003e-08,1.117e-11,9.648439999999999e-08,5,5,1.33e-07,1.68466165413534,0.1049754858842931,-2.999999999991818e-10
2.3000000000000003,0.1,9.49546e-08,-1.69e-12,-9.36938e-08,4.504300000000008e-08,1.69e-12,9.49546e-08,5,5,1.33e-07,3.3866917293233127,0.1938327122626806,1.1227500000000015e-07
2.4,0.1,1.05493e-07,-2.016e-11,-1.0552639999999998e-07,4.486100000000003e-08,2.016e-11,1.05493e-07,5,5,1.33e-07,3.3730075187969937,0.1960577326992798,-2.542950000000008e-07
2.5,0.1,1.039268e-07,-3.914e-11,-1.04026e-07,-5.816000000000025e-09,3.914e-11,1.039268e-07,5,5,1.33e-07,-0.4372932330827085,-0.0240763404439725,-4.2975000000000185e-08
