VG,VD,W,L,ID,abs_ID,log_ID,VG_scaled,VD_scaled,W_scaled,L_scaled
-0.7,0.1,10.0,10.0,5.1124e-12,5.1124e-12,-11.291375173825273,0.43,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.6,0.1,10.0,10.0,-1.7624e-12,1.7624e-12,-11.75389551585729,0.44,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.5,0.1,10.0,10.0,2.384e-12,2.384e-12,-11.622693748931802,0.45,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.4,0.1,10.0,10.0,4.2732e-12,4.2732e-12,-11.369246780278122,0.45999999999999996,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.3,0.1,10.0,10.0,-5.063e-12,5.063e-12,-11.29559207261316,0.47,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.2,0.1,10.0,10.0,2.0342e-12,2.0342e-12,-11.69160635002374,0.48,0.020000000000000004,0.03225806451612903,0.3333333333333333
-0.1,0.1,10.0,10.0,-2.2346e-12,2.2346e-12,-11.65080020557,0.49,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.0,0.1,10.0,10.0,-3.8638e-12,3.8638e-12,-11.41298536184877,0.5,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.1,0.1,10.0,10.0,7.636599999999999e-12,7.636599999999999e-12,-11.117099956856128,0.51,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.2,0.1,10.0,10.0,2.80066e-11,2.80066e-11,-10.55273961130726,0.52,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.3,0.1,10.0,10.0,2.5126e-10,2.5126e-10,-9.599876644562919,0.53,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.4,0.1,10.0,10.0,1.5528e-09,1.5528e-09,-8.808884477619694,0.54,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.5,0.1,10.0,10.0,4.5989e-09,4.5989e-09,-8.337346033765897,0.55,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.6,0.1,10.0,10.0,9.1922e-09,9.1922e-09,-8.03658053502131,0.56,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.7,0.1,10.0,10.0,1.47274e-08,1.47274e-08,-7.831873917469622,0.57,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.8,0.1,10.0,10.0,2.10118e-08,2.10118e-08,-7.677536741664368,0.5800000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
0.9,0.1,10.0,10.0,2.79682e-08,2.79682e-08,-7.553335483404036,0.59,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.0,0.1,10.0,10.0,3.55444e-08,3.55444e-08,-7.449228812393359,0.6,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.1,0.1,10.0,10.0,4.35682e-08,4.35682e-08,-7.360830382368942,0.61,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.2,0.1,10.0,10.0,5.19738e-08,5.19738e-08,-7.284215529113272,0.62,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.3,0.1,10.0,10.0,6.0922e-08,6.0922e-08,-7.215225847707855,0.63,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.4,0.1,10.0,10.0,7.012999999999999e-08,7.012999999999999e-08,-7.154096161101218,0.64,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.5,0.1,10.0,10.0,7.964539999999999e-08,7.964539999999999e-08,-7.098839302252138,0.65,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.6,0.1,10.0,10.0,8.9436e-08,8.9436e-08,-7.048487632722124,0.66,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.7,0.1,10.0,10.0,9.93646e-08,9.93646e-08,-7.002768311406888,0.67,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.8,0.1,10.0,10.0,1.0943520000000001e-07,1.0943520000000001e-07,-6.960842964045283,0.68,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.9,0.1,10.0,10.0,1.1984e-07,1.1984e-07,-6.921398199644608,0.69,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.0,0.1,10.0,10.0,1.3032e-07,1.3032e-07,-6.884988928699547,0.7,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.1,0.1,10.0,10.0,1.4106e-07,1.4106e-07,-6.850596120491417,0.71,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.2,0.1,10.0,10.0,1.5186e-07,1.5186e-07,-6.818556604458102,0.72,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.3000000000000003,0.1,10.0,10.0,1.629e-07,1.629e-07,-6.78807891569149,0.73,0.020000000000000004,0.03225806451612903,0.3333333333333333
