VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
1.8,0.1,4.5412e-07,-1.83e-12,-4.5404e-07,3.694999999999997e-07,1.83e-12,4.5412e-07,20,5,1.33e-07,6.945488721804504,0.3537995248754907,7.850000000000027e-08
1.9,0.1,4.9152e-07,2.6380000000000004e-11,-4.9114e-07,3.7710000000000017e-07,2.6380000000000004e-11,4.9152e-07,20,5,1.33e-07,7.088345864661656,0.3336407095756355,7.200000000000304e-08
2.0,0.1,5.2954e-07,-5.410000000000001e-12,-5.2952e-07,3.8390000000000025e-07,5.410000000000001e-12,5.2954e-07,20,5,1.33e-07,7.216165413533837,0.3151823101466578,7.19999999999959e-08
2.1,0.1,5.683e-07,-6.400000000000001e-13,-5.682e-07,3.914999999999994e-07,6.400000000000001e-13,5.683e-07,20,5,1.33e-07,7.359022556390963,0.2994525255670452,7.299999999999561e-08
2.2,0.1,6.0784e-07,3.3520000000000004e-11,-6.077e-07,3.984999999999994e-07,3.3520000000000004e-11,6.0784e-07,20,5,1.33e-07,7.490601503759386,0.2849867491293164,7.100000000000553e-08
2.3000000000000003,0.1,6.48e-07,3.7000000000000004e-13,-6.4794e-07,4.057000000000005e-07,3.7000000000000004e-13,6.48e-07,20,5,1.33e-07,7.625939849624067,0.2720866949892157,7.400000000000643e-08
2.4,0.1,6.8898e-07,-4.848e-11,-6.8882e-07,4.1330000000000077e-07,4.848e-11,6.8898e-07,20,5,1.33e-07,7.768796992481213,0.2607016333155213,7.39999999999948e-08
2.5,0.1,7.3066e-07,-1.86e-12,-7.3066e-07,4.2049999999999946e-07,1.86e-12,7.3066e-07,20,5,1.33e-07,7.904135338345853,0.2500891138649705,6.549999999999296e-08
2.6,0.1,7.730799999999999e-07,3.617e-11,-7.7276e-07,4.263999999999993e-07,3.617e-11,7.730799999999999e-07,20,5,1.33e-07,8.015037593984946,0.2397144581414776,6.300000000000256e-08
2.7,0.1,8.159399999999999e-07,-8.300000000000001e-13,-8.16e-07,4.331e-07,8.300000000000001e-13,8.159399999999999e-07,20,5,1.33e-07,8.140977443609021,0.2306124437838617,7.100000000000844e-08
2.8000000000000003,0.1,8.597e-07,-3.38e-12,-8.5958e-07,4.40600000000001e-07,3.38e-12,8.597e-07,20,5,1.33e-07,8.281954887218062,0.2226951510591449,7.500000000000256e-08
2.9,0.1,9.0406e-07,2.68e-11,-9.04e-07,4.481000000000005e-07,2.68e-11,9.0406e-07,20,5,1.33e-07,8.422932330827075,0.2153285191123324,6.149999999999332e-08
3.0,0.1,9.4932e-07,6.000000000000002e-13,-9.49e-07,4.528999999999996e-07,6.000000000000002e-13,9.4932e-07,20,5,1.33e-07,8.513157894736834,0.2073433313368509,4.949999999999547e-08
3.1,0.1,9.9464e-07,-4.76e-11,-9.947e-07,4.5799999999999963e-07,4.76e-11,9.9464e-07,20,5,1.33e-07,8.609022556390968,0.2000236124549912,7.69999999999999e-08
