VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
2.3000000000000003,0.1,1.681e-06,-3.3010000000000004e-11,-1.681e-06,40,5,9.335000000000016e-07,3.3010000000000004e-11,1.681e-06,1.33e-07,8.773496240601517,0.241545005029247,8.500000000001709e-08
2.4,0.1,1.7735000000000005e-06,-1.5600000000000002e-12,-1.7756000000000002e-06,40,5,9.380000000000019e-07,1.5600000000000002e-12,1.7735000000000005e-06,1.33e-07,8.815789473684225,0.2297431553608045,5.7499999999988524e-08
2.5,0.1,1.8686e-06,4.3430000000000005e-11,-1.8681e-06,40,5,9.449999999999993e-07,4.3430000000000005e-11,1.8686e-06,1.33e-07,8.881578947368412,0.2198923630466429,5.2499999999988016e-08
2.6,0.1,1.9625000000000003e-06,2.87e-12,-1.9632e-06,40,5,9.484999999999995e-07,2.87e-12,1.9625000000000003e-06,1.33e-07,8.914473684210519,0.2099616476722097,5.999999999999916e-08
2.7,0.1,2.0583000000000003e-06,-5.438e-11,-2.0585000000000003e-06,40,5,9.56999999999999e-07,5.438e-11,2.0583000000000003e-06,1.33e-07,8.994360902255629,0.202079354222122,8.50000000000063e-08
2.8000000000000003,0.1,2.1539e-06,-2.3000000000000003e-12,-2.1534000000000004e-06,40,5,9.65500000000001e-07,2.3000000000000003e-12,2.1539e-06,1.33e-07,9.074248120300755,0.1947199385347133,3.5000000000013264e-08
2.9,0.1,2.2514e-06,6.222e-11,-2.2501000000000003e-06,40,5,9.640000000000017e-07,6.222e-11,2.2514e-06,1.33e-07,9.060150375939862,0.1861601853631536,-1.0000000000000765e-08
3.0,0.1,2.3467000000000003e-06,1.95e-12,-2.3491e-06,40,5,9.635000000000006e-07,1.95e-12,2.3467000000000003e-06,1.33e-07,9.055451127819552,0.1783315463864497,9.749999999998078e-08
3.1,0.1,2.4441000000000005e-06,-6.187e-11,-2.4442e-06,40,5,9.834999999999979e-07,6.187e-11,2.4441000000000005e-06,1.33e-07,9.243421052631556,0.1747854680875969,7.749999999998987e-08
3.2,0.1,2.5434e-06,-2.37e-12,-2.5439000000000003e-06,40,5,9.789999999999986e-07,2.37e-12,2.5434e-06,1.33e-07,9.201127819548857,0.1673425248969849,1.750000000001718e-08
3.3000000000000003,0.1,2.6399000000000003e-06,5.715e-11,-2.6409000000000004e-06,40,5,9.870000000000013e-07,5.715e-11,2.6399000000000003e-06,1.33e-07,9.276315789473692,0.1623133933478506,1.375000000000158e-07
3.4,0.1,2.7408e-06,2.21e-12,-2.7406e-06,40,5,1.0065000000000015e-06,2.21e-12,2.7408e-06,1.33e-07,9.45958646616543,0.1595716499515733,1.4999999999999033e-07
3.5,0.1,2.8412000000000004e-06,-5.033e-11,-2.8398000000000003e-06,40,5,1.0169999999999991e-06,5.033e-11,2.8412000000000004e-06,1.33e-07,9.55827067669172,0.1554498137156155,-1.0500000000001838e-07
3.6,0.1,2.9442e-06,-5.300000000000002e-13,-2.9435000000000003e-06,40,5,9.85499999999998e-07,5.300000000000002e-13,2.9442e-06,1.33e-07,9.262218045112762,0.1456442381605159,-2.3749999999999121e-07
3.7,0.1,3.0383e-06,4.1210000000000006e-11,-3.0405000000000004e-06,40,5,9.69500000000001e-07,4.1210000000000006e-11,3.0383e-06,1.33e-07,9.111842105263165,0.138497352577449,1.750000000000236e-07
3.8,0.1,3.1381000000000005e-06,8e-13,-3.1366e-06,40,5,1.0205000000000028e-06,8e-13,3.1381000000000005e-06,1.33e-07,9.591165413533858,0.1411796855075799,3.2499999999999414e-07
3.9,0.1,3.2424000000000005e-06,-2.892e-11,-3.2424000000000005e-06,40,5,1.0344999999999998e-06,2.892e-11,3.2424000000000005e-06,1.33e-07,9.722744360902253,0.1386467161189665,2.249999999998584e-08
4.0,0.1,3.345e-06,-1.5300000000000001e-12,-3.3423e-06,40,5,1.025e-06,1.5300000000000001e-12,3.345e-06,1.33e-07,9.63345864661654,0.133125432785799,5.000000000000277e-08
4.1,0.1,3.4474e-06,1.069e-11,-3.4484000000000003e-06,40,5,1.0445000000000003e-06,1.069e-11,3.4474e-06,1.33e-07,9.816729323308271,0.1315454065751041,6.000000000000445e-08
