cap_type,VG,VD,W,L,freq,C_F,C_pF
cgs,3.8,0.0,160,15,10000.0,4.72994e-12,4.72994
cgs,4.0,0.0,160,15,10000.0,4.7397300000000004e-12,4.739730000000001
cgs,4.2,0.0,160,15,10000.0,4.748910000000001e-12,4.74891
cgs,4.4,0.0,160,15,10000.0,4.75743e-12,4.75743
cgs,4.6000000000000005,0.0,160,15,10000.0,4.76418e-12,4.76418
cgs,4.8,0.0,160,15,10000.0,4.77212e-12,4.77212
cgs,5.0,0.0,160,15,10000.0,4.77829e-12,4.77829
cgs,-3.0,0.0,160,20,10000.0,6.863230000000002e-13,0.6863230000000001
cgs,-2.8000000000000003,0.0,160,20,10000.0,6.871140000000002e-13,0.6871140000000002
cgs,-2.6,0.0,160,20,10000.0,6.87433e-13,0.6874330000000001
cgs,-2.4,0.0,160,20,10000.0,6.87193e-13,0.687193
cgs,-2.2,0.0,160,20,10000.0,6.87882e-13,0.687882
cgs,-2.0,0.0,160,20,10000.0,6.87604e-13,0.687604
cgs,-1.8,0.0,160,20,10000.0,6.89356e-13,0.689356
cgs,-1.6,0.0,160,20,10000.0,6.885840000000002e-13,0.6885840000000002
cgs,-1.4,0.0,160,20,10000.0,6.88278e-13,0.6882780000000001
cgs,-1.2,0.0,160,20,10000.0,6.88812e-13,0.688812
cgs,-1.0,0.0,160,20,10000.0,6.90317e-13,0.6903170000000001
cgs,-0.8,0.0,160,20,10000.0,6.91699e-13,0.691699
cgs,-0.6,0.0,160,20,10000.0,6.954240000000002e-13,0.6954240000000002
cgs,-0.4,0.0,160,20,10000.0,7.05929e-13,0.705929
cgs,-0.2,0.0,160,20,10000.0,7.29607e-13,0.729607
cgs,0.0,0.0,160,20,10000.0,7.65924e-13,0.765924
cgs,0.2,0.0,160,20,10000.0,8.013370000000001e-13,0.8013370000000001
cgs,0.4,0.0,160,20,10000.0,8.482320000000001e-13,0.8482320000000001
cgs,0.6,0.0,160,20,10000.0,1.8343300000000003e-12,1.8343300000000002
cgs,0.8,0.0,160,20,10000.0,4.94033e-12,4.94033
cgs,1.0,0.0,160,20,10000.0,5.450350000000001e-12,5.450350000000001
cgs,1.2,0.0,160,20,10000.0,5.64286e-12,5.64286
cgs,1.4,0.0,160,20,10000.0,5.7642500000000014e-12,5.764250000000001
cgs,1.6,0.0,160,20,10000.0,5.85307e-12,5.853070000000001
cgs,1.8,0.0,160,20,10000.0,5.923150000000001e-12,5.923150000000001
cgs,2.0,0.0,160,20,10000.0,5.97873e-12,5.9787300000000005
cgs,2.2,0.0,160,20,10000.0,6.023960000000001e-12,6.0239600000000015
cgs,2.4,0.0,160,20,10000.0,6.06115e-12,6.0611500000000005
cgs,2.6,0.0,160,20,10000.0,6.0920100000000004e-12,6.09201
cgs,2.8000000000000003,0.0,160,20,10000.0,6.118770000000001e-12,6.118770000000001
cgs,3.0,0.0,160,20,10000.0,6.140520000000001e-12,6.140520000000001
cgs,3.2,0.0,160,20,10000.0,6.16027e-12,6.160270000000001
cgs,3.4,0.0,160,20,10000.0,6.175740000000001e-12,6.175740000000001
cgs,3.6,0.0,160,20,10000.0,6.190180000000001e-12,6.190180000000002
cgs,3.8,0.0,160,20,10000.0,6.203730000000001e-12,6.203730000000001
cgs,4.0,0.0,160,20,10000.0,6.21565e-12,6.21565
cgs,4.2,0.0,160,20,10000.0,6.22415e-12,6.22415
cgs,4.4,0.0,160,20,10000.0,6.23467e-12,6.23467
cgs,4.6000000000000005,0.0,160,20,10000.0,6.24201e-12,6.2420100000000005
cgs,4.8,0.0,160,20,10000.0,6.24951e-12,6.24951
cgs,5.0,0.0,160,20,10000.0,6.25774e-12,6.25774
