cap_type,VG,VD,W,L,freq,C_F,C_pF
cgd,1.6,0.0,160,20,10000.0,5.863360000000001e-12,5.863360000000001
cgd,1.8,0.0,160,20,10000.0,5.92852e-12,5.928520000000001
cgd,2.0,0.0,160,20,10000.0,5.983060000000001e-12,5.983060000000001
cgd,2.2,0.0,160,20,10000.0,6.025280000000001e-12,6.02528
cgd,2.4,0.0,160,20,10000.0,6.06157e-12,6.061570000000001
cgd,2.6,0.0,160,20,10000.0,6.09116e-12,6.09116
cgd,2.8000000000000003,0.0,160,20,10000.0,6.11633e-12,6.1163300000000005
cgd,3.0,0.0,160,20,10000.0,6.136690000000001e-12,6.1366900000000015
cgd,3.2,0.0,160,20,10000.0,6.15539e-12,6.15539
cgd,3.4,0.0,160,20,10000.0,6.171160000000001e-12,6.171160000000001
cgd,3.6,0.0,160,20,10000.0,6.184220000000001e-12,6.184220000000002
cgd,3.8,0.0,160,20,10000.0,6.19766e-12,6.19766
cgd,4.0,0.0,160,20,10000.0,6.209340000000001e-12,6.209340000000001
cgd,4.2,0.0,160,20,10000.0,6.2169300000000015e-12,6.216930000000001
cgd,4.4,0.0,160,20,10000.0,6.227810000000001e-12,6.227810000000001
cgd,4.6000000000000005,0.0,160,20,10000.0,6.235660000000001e-12,6.235660000000001
cgd,4.8,0.0,160,20,10000.0,6.244090000000001e-12,6.244090000000001
cgd,5.0,0.0,160,20,10000.0,6.25138e-12,6.25138
cgs,-3.0,0.0,20,20,10000.0,9.36073e-14,0.0936073
cgs,-2.8000000000000003,0.0,20,20,10000.0,9.22919e-14,0.0922919
cgs,-2.6,0.0,20,20,10000.0,9.2918e-14,0.092918
cgs,-2.4,0.0,20,20,10000.0,9.35093e-14,0.0935093
cgs,-2.2,0.0,20,20,10000.0,9.35662e-14,0.0935662
cgs,-2.0,0.0,20,20,10000.0,9.34303e-14,0.0934303
cgs,-1.8,0.0,20,20,10000.0,9.29465e-14,0.0929465
cgs,-1.6,0.0,20,20,10000.0,9.35599e-14,0.0935599
cgs,-1.4,0.0,20,20,10000.0,9.37971e-14,0.0937971
cgs,-1.2,0.0,20,20,10000.0,9.49766e-14,0.0949766
cgs,-1.0,0.0,20,20,10000.0,9.3971e-14,0.093971
cgs,-0.8,0.0,20,20,10000.0,9.561849999999999e-14,0.0956185
cgs,-0.6,0.0,20,20,10000.0,9.74304e-14,0.0974304
cgs,-0.4,0.0,20,20,10000.0,1.0182600000000001e-13,0.10182600000000001
cgs,-0.2,0.0,20,20,10000.0,1.10411e-13,0.11041100000000001
cgs,0.0,0.0,20,20,10000.0,1.1991000000000004e-13,0.11991000000000004
cgs,0.2,0.0,20,20,10000.0,2.09298e-13,0.209298
cgs,0.4,0.0,20,20,10000.0,5.855850000000002e-13,0.5855850000000001
cgs,0.6,0.0,20,20,10000.0,6.88355e-13,0.688355
cgs,0.8,0.0,20,20,10000.0,7.218870000000001e-13,0.7218870000000001
cgs,1.0,0.0,20,20,10000.0,7.4339e-13,0.74339
cgs,1.2,0.0,20,20,10000.0,7.569520000000001e-13,0.7569520000000001
cgs,1.4,0.0,20,20,10000.0,7.679220000000001e-13,0.7679220000000001
cgs,1.6,0.0,20,20,10000.0,7.760290000000002e-13,0.7760290000000002
cgs,1.8,0.0,20,20,10000.0,7.83843e-13,0.7838430000000001
cgs,2.0,0.0,20,20,10000.0,7.90376e-13,0.7903760000000001
cgs,2.2,0.0,20,20,10000.0,7.947590000000001e-13,0.7947590000000001
cgs,2.4,0.0,20,20,10000.0,7.980510000000002e-13,0.7980510000000002
cgs,2.6,0.0,20,20,10000.0,8.009380000000001e-13,0.800938
cgs,2.8000000000000003,0.0,20,20,10000.0,8.046440000000001e-13,0.804644
cgs,3.0,0.0,20,20,10000.0,8.065030000000001e-13,0.8065030000000001
cgs,3.2,0.0,20,20,10000.0,8.095230000000001e-13,0.8095230000000001
cgs,3.4,0.0,20,20,10000.0,8.108100000000001e-13,0.81081
cgs,3.6,0.0,20,20,10000.0,8.12609e-13,0.812609
cgs,3.8,0.0,20,20,10000.0,8.144720000000002e-13,0.8144720000000002
cgs,4.0,0.0,20,20,10000.0,8.156890000000001e-13,0.8156890000000001
cgs,4.2,0.0,20,20,10000.0,8.16496e-13,0.816496
cgs,4.4,0.0,20,20,10000.0,8.182820000000001e-13,0.8182820000000001
cgs,4.6000000000000005,0.0,20,20,10000.0,8.184660000000001e-13,0.818466
cgs,4.8,0.0,20,20,10000.0,8.197080000000002e-13,0.8197080000000002
